기준_년분기_코드,행정동_코드,당월_매출_금액,당월_매출_건수,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,행정동_코드_명_매출,총_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,행정동_코드_명_인구,행정동코드,점포수,유동인구_만명,매출_억원,점포당_매출,비율_10대,비율_20대,비율_30대,비율_40대,비율_50대,비율_60대이상
20221,11110515,1202573186,179263,13991470,189026715,356264996,289317905,204995578,98249833,청운효자동,3627519,625082,528086,567738,644555,540835,721222,청운효자동,11110515.0,11.0,362.7519,12.02573186,109324835.0909091,17.23166715322511,14.557773508560533,15.650862200859597,17.768480330495855,14.909225837273354,19.8819634025349
20221,11110530,3761850443,659962,32009589,752626439,1155674128,861303012,637571939,274048863,사직동,3402653,298368,536458,695726,674675,542340,655085,사직동,11110530.0,25.0,340.2653,37.61850443,150474017.72,8.768687256678833,15.765874451494172,20.446575069511937,19.827910750817082,15.938739565862283,19.25218351680292
20221,11110540,1226802003,138702,11984782,383102661,328373438,197452745,184904010,72751255,삼청동,821735,95033,134797,141663,150745,129233,170264,삼청동,11110540.0,7.0,82.1735,12.26802003,175257429.0,11.564920564415536,16.403950178585553,17.239499351980868,18.344721838548924,15.726846246052558,20.720061820416557
20221,11110550,607056495,79978,8596548,83495824,164266236,148311764,143232866,59153257,부암동,1283546,220206,150263,148753,213527,206777,344020,부암동,11110550.0,11.0,128.3546,6.07056495,55186954.09090909,17.156066085672038,11.706865200000623,11.58922235743791,16.635710757541997,16.109823878536492,26.80231172081094
20221,11110560,568959905,72916,8279992,87770612,110755403,151202853,130958336,75968386,평창동,823714,139652,86994,90922,129832,141998,234317,평창동,11110560.0,9.0,82.3714,5.68959905,63217767.222222224,16.953942751974594,10.561189927571949,11.038054470362287,15.76178139499875,17.23875034295884,28.446402513493762
20221,11110570,657452867,109312,7001745,117499999,133621290,138704532,179022446,81602855,무악동,1859503,373020,216525,223368,286196,280457,479938,무악동,11110570.0,6.0,185.9503,6.57452867,109575477.83333333,20.060198881098874,11.644240423381946,12.012241980787339,15.390994260294283,15.082363405705717,25.81001482654236
20221,11110580,735179324,110288,5366877,107417233,239819799,190402137,120072887,44149399,교남동,3853931,827100,470059,495452,697778,549459,814083,교남동,11110580.0,10.0,385.3931,7.35179324,73517932.4,21.461204157521244,12.196871194632182,12.855756888226594,18.1056173553704,14.25710527770217,21.123445126547413
20221,11110600,680488447,100516,7029395,106669240,179101223,156121831,94064559,83868140,가회동,1255813,169827,179847,224209,252184,195144,234603,가회동,11110600.0,8.0,125.5813,6.80488447,85061055.875,13.523271378780121,14.321160873473996,17.85369318521149,20.081333765457117,15.539256242768628,18.681364183998735
20221,11110615,9632026498,1475511,55086605,2433100577,2598884232,1925555042,1491696717,684793183,종로1·2·3·4가동,12013656,585847,2368025,2323174,2282024,1974287,2480299,종로1?2?3?4가동,11110615.0,91.0,1201.3656,96.32026498,105846445.03296703,4.876508866243548,19.711110423005287,19.337776943172003,18.995250072084634,16.433690127301798,20.64566356819273
20221,11110630,3176634857,471385,40766427,577770461,889997479,726454413,589866280,251523960,종로5·6가동,6168567,355150,994966,951607,994544,1201312,1670987,종로5?6가동,11110630.0,20.0,616.8567,31.76634857,158831742.85,5.7574149717430325,16.12961324729066,15.426710936267693,16.12277211222639,19.474733759072407,27.088738762179286
20221,11110640,4182941140,659950,23130955,1050022392,1386915201,765932658,644592407,202481392,이화동,3431620,303931,794145,658585,535508,496210,643242,이화동,11110640.0,21.0,343.162,41.8294114,199187673.33333334,8.85677901399339,23.141985417965856,19.19166457824584,15.605107791655254,14.459934375018213,18.74455796387712
20221,11110650,1141551220,194680,23130469,406077501,270821114,193678591,191320806,56522739,혜화동,8469184,1389324,2666483,992633,1071530,977183,1372030,혜화동,11110650.0,27.0,846.9184,11.4155122,42279674.81481481,16.404461161783708,31.48453263029827,11.720527030703312,12.652104382193135,11.538100955180571,16.200262032328023
20221,11110670,1634730976,184209,14529366,424146180,454671881,304289284,247796658,189297607,창신1동,2985441,142501,400857,480164,517760,607687,836474,창신1동,11110670.0,10.0,298.5441,16.34730976,163473097.6,4.773197661585005,13.427061529603165,16.08351998917413,17.342831427584734,20.355016227083368,28.01844015674736
20221,11110690,112538624,13476,911778,22137520,37578694,21763735,24055249,6091648,창신3동,1220959,182107,161267,165256,182751,217666,311913,창신3동,11110690.0,4.0,122.0959,1.12538624,28134656.0,14.915079048518418,13.208224027178636,13.534934424497463,14.96782447240243,17.827461855803513,25.54655807443166
20221,11110700,396190063,54229,5599698,97579566,84824171,118678404,67184011,22324213,숭인1동,2210888,233455,301664,338412,355406,405183,576769,숭인1동,11110700.0,7.0,221.0888,3.96190063,56598580.428571425,10.559331815994296,13.644472266347277,15.306609832791167,16.07526025741693,18.32670854425914,26.087662513885824
20221,11110710,1709586861,254596,11933043,436004535,535730764,310006696,275241340,133315496,숭인2동,5305428,396250,927975,876403,835071,932679,1337050,숭인2동,11110710.0,25.0,530.5428,17.09586861,68383474.44,7.468765950645263,17.491048790031645,16.518987723516368,15.739936532924393,17.579712701783908,25.20154830109842
20221,11140520,4634471344,664459,26421541,912244403,1378139444,1084205611,691336360,227884390,소공동,2332832,119107,384798,606751,565233,386265,270678,소공동,11140520.0,49.0,233.2832,46.34471344,94581047.8367347,5.105682706684408,16.494886901414247,26.009202548661886,24.229477304838067,16.55777184126418,11.602978697137214
20221,11140540,5305284191,869863,29694126,943927488,1668597677,1233620889,872896586,227445529,회현동,3946732,142044,552553,871933,848524,696266,835414,회현동,11140540.0,35.0,394.6732,53.05284191,151579548.31428573,3.5990282593294913,14.000266549641577,22.092531238503145,21.49940761115779,17.641582960282076,21.167234055922723
