기준_년분기_코드,행정동_코드,행정동_코드_명,매출금액,유동인구,매출건수,밀집도,청년_유동인구_비율,중년_유동인구_비율,고령_유동인구_비율
20221,11110530,사직동,3761850443,3402653,659962,193.95512854234622,0.36212449521006107,0.35766650316679366,0.19252183516802918
20221,11110540,삼청동,1226802003,821735,138702,168.79164207439138,0.3364344953056642,0.34071568084601483,0.20720061820416558
20221,11110550,부암동,607056495,1283546,79978,62.31019379126265,0.23296087557438533,0.3274553463607849,0.2680231172081094
20221,11110560,평창동,568959905,823714,72916,88.5210157894609,0.21599244397934234,0.33000531737957595,0.2844640251349376
20221,11110570,무악동,657452867,1859503,109312,58.78560023834326,0.23656482404169285,0.30473357666,0.2581001482654236
20221,11110580,교남동,735179324,3853931,110288,28.61701467929758,0.25052628082858774,0.3236272263307257,0.21123445126547413
20221,11110600,가회동,680488447,1255813,100516,80.04057929006946,0.32174854058685487,0.35620590008225744,0.18681364183998733
20221,11110615,종로1·2·3·4가동,9632026498,12013656,1475511,122.81948143013251,0.39048887366177293,0.35428940199386433,0.2064566356819273
20221,11110630,종로5·6가동,3176634857,6168567,471385,76.41726190215653,0.31556324183558354,0.35597505871298796,0.2708873876217929
20221,11110640,이화동,4182941140,3431620,659950,192.31441709746417,0.42333649996211703,0.30065042166673467,0.1874455796387712
20221,11110650,혜화동,1141551220,8469184,194680,22.9868662671634,0.43205059661001577,0.24190205337373707,0.16200262032328025
20221,11110670,창신1동,1634730976,2985441,184209,61.70244195078717,0.2951058151877729,0.37697847654668104,0.2801844015674736
20221,11110690,창신3동,112538624,1220959,13476,11.037225656225967,0.267431584516761,0.3279528632820594,0.2554655807443166
20221,11110700,숭인1동,396190063,2210888,54229,24.528153393568555,0.2895108209913845,0.3440196880167607,0.26087662513885823
20221,11110710,숭인2동,1709586861,5305428,254596,47.98783434625821,0.34010036513548014,0.33319649234708304,0.2520154830109842
20221,11140520,소공동,4634471344,2332832,664459,284.82934047543927,0.4250408945007613,0.4078724914610225,0.11602978697137213
20221,11140540,회현동,5305284191,3946732,869863,220.400827824134,0.36092797788144726,0.39140990571439865,0.21167234055922723
