기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20221,11110530,사직동,CS300002,편의점,3761850443,659962,2941650755,820199688,582930134,568919465,582012375,613477559,594311222,445398887,374800801,141043882,952070923,634543173,552959620,934689472,546543373,2423854092,1289379877,32009589,752626439,1155674128,861303012,637571939,274048863,523315,136647,104397,101468,104998,110428,102024,73535,63112,19261,200165,126750,102152,141972,69662,411020,245127,9145,163145,206528,138907,96616,41805
20221,11110540,삼청동,CS300002,편의점,1226802003,138702,852623798,374178205,171419678,166034296,179194068,166995945,168979811,206731302,167446903,16496541,170315840,260978128,301860508,381625603,95525383,469164751,709404139,11984782,383102661,328373438,197452745,184904010,72751255,94906,43796,18692,17937,19067,19662,19548,24086,19710,1931,23791,33500,33894,36833,8753,65155,69650,2522,41564,39586,23114,19520,8498
20221,11110550,부암동,CS300002,편의점,607056495,79978,425710891,181345604,84915813,95326657,82860153,78074244,84534024,91303416,90042188,41777085,87824202,84284096,100441003,182222048,110508061,383338940,223717555,8596548,83495824,164266236,148311764,143232866,59153257,56057,23921,11255,11929,11472,10999,10402,11845,12076,5285,13277,12001,13445,21864,14106,50207,29771,1947,13090,21661,19375,16454,7451
20221,11110560,평창동,CS300002,편의점,568959905,72916,395536992,173422913,73720072,77086260,80758789,82247145,81724726,88019375,85403538,35349102,89808660,93323415,87026115,160670720,102781893,391944620,172990963,8279992,87770612,110755403,151202853,130958336,75968386,50925,21991,9809,9989,10683,10359,10085,10988,11003,3590,14379,13671,11958,18270,11048,49197,23365,1762,13757,13519,17723,16001,9799
20221,11110570,무악동,CS300002,편의점,657452867,109312,463909086,193543781,94011731,83766401,101215223,91254209,93661522,103756295,89787486,33867773,122148998,103761236,89238286,178387621,130048953,448840610,208612257,7001745,117499999,133621290,138704532,179022446,81602855,76401,32911,15418,14661,16407,15517,14398,16768,16143,4316,24675,18549,16242,26159,19371,69094,40218,1872,24167,22534,22464,25504,12771
20221,11110580,교남동,CS300002,편의점,735179324,110288,563562106,171617218,113892254,115271700,109531363,112427399,112439390,89186724,82430494,42835978,137558988,106517696,118377571,195596256,134292835,519442280,187786052,5366877,107417233,239819799,190402137,120072887,44149399,87593,22695,17587,17949,17281,18172,16604,11730,10965,5673,24021,18505,19271,26864,15954,79228,28473,1577,18762,37772,26416,17620,5553
20221,11110600,가회동,CS300002,편의점,680488447,100516,510217496,170270951,101103562,97809084,101444668,104006403,105853779,92377495,77893456,31292525,154602758,118582000,102728252,180824439,92458473,426121457,200732930,7029395,106669240,179101223,156121831,94064559,83868140,78672,21844,15785,15802,15687,16077,15321,11659,10185,4226,27466,18721,16156,22999,10948,65940,30942,2156,18206,29767,23425,13517,9811
20221,11110615,종로1·2·3·4가동,CS300002,편의점,9632026498,1475511,7075533688,2556492810,1401158213,1290736136,1385083278,1465138348,1533417713,1558856179,997636631,621999769,1615654027,1353901208,1388013915,2723689999,1928767580,6302854158,2886262189,55086605,2433100577,2598884232,1925555042,1491696717,684793183,1118612,356899,222449,212816,222397,234149,226801,208716,148183,76708,317481,253192,231004,380090,217036,964610,475454,10648,412592,409737,278911,227277,100896
20221,11110630,종로5·6가동,CS300002,편의점,3176634857,471385,2553851966,622782891,506826075,493373252,506998004,524208642,522445993,366691065,256091826,224137974,679569551,490256072,468180790,816535452,497955018,2255180545,821198475,40766427,577770461,889997479,726454413,589866280,251523960,384557,86828,76381,73825,75919,81058,77374,49496,37332,27321,117506,83901,73161,109295,60201,330451,134385,9279,103296,136662,97935,80232,37431
20221,11110640,이화동,CS300002,편의점,4182941140,659950,3236158164,946782976,635985030,616618794,637260468,652865575,693428297,546085409,400697567,224668678,721597678,711195501,638817931,1170202274,716459078,2486255491,1586819512,23130955,1050022392,1386915201,765932658,644592407,202481392,513683,146267,102247,98318,102821,107135,103162,80565,65702,30250,135203,123122,106902,167107,97366,385826,264378,6128,187213,220711,112910,89530,33711
20221,11110650,혜화동,CS300002,편의점,1141551220,194680,803592806,337958414,159354915,154801074,166657635,161984009,160795173,174694902,163263512,120258030,134046395,149479038,161100917,327652741,249014099,766491767,375059453,23130469,406077501,270821114,193678591,191320806,56522739,138922,55758,27298,27623,28589,28241,27171,28930,26828,16616,27540,29664,29277,54812,36771,125947,68733,6399,79084,42351,28635,28439,9772
20221,11110670,창신1동,CS300002,편의점,1634730976,184209,1183822746,450908230,253570374,228762312,221063347,240582189,239844524,249396940,201511290,141583533,219179488,264690646,282961735,474470936,251844638,858660388,776070588,14529366,424146180,454671881,304289284,247796658,189297607,133395,50814,27771,27093,24832,27031,26668,26506,24308,20058,32052,29933,27112,47815,27239,116816,67393,1396,45221,50116,35828,27131,24517
20221,11110690,창신3동,CS300002,편의점,112538624,13476,83837158,28701466,18120768,16061139,15245731,16867376,17542144,16170590,12530876,5882091,10388682,17418383,12946656,37136208,28766604,69448106,43090518,911778,22137520,37578694,21763735,24055249,6091648,10091,3385,2228,1927,1725,2102,2109,1926,1459,715,1505,2157,1652,4053,3394,8047,5429,305,2958,4562,2517,2121,1013
20221,11110700,숭인1동,CS300002,편의점,396190063,54229,281185790,115004273,59346479,49888695,57798133,59852034,54300449,60690066,54314207,36256040,62959590,41548031,51855845,110302827,93267730,250585529,145604534,5599698,97579566,84824171,118678404,67184011,22324213,39294,14935,7553,7660,8117,8419,7545,7791,7144,4223,10326,6562,7597,14794,10727,36524,17705,1210,16630,12566,11690,8599,3534
20221,11110710,숭인2동,CS300002,편의점,1709586861,254596,1225229516,484357345,242139064,233463099,246947656,246160298,256519399,260014923,224342422,148913763,281912959,233099571,220825852,466049231,358785485,1142945808,559286067,11933043,436004535,535730764,310006696,275241340,133315496,183475,71121,36578,34942,36983,37366,37606,36690,34431,18542,49046,39365,36157,64664,46822,171724,82362,2527,70555,77498,42628,38876,22003
20221,11140520,소공동,CS300002,편의점,4634471344,664459,3959077422,675393922,810432793,736792049,766627248,845487740,799737592,394351703,281042219,103553082,1007039240,1091574169,902401730,1122889704,407013419,2536074598,1784157147,26421541,912244403,1378139444,1084205611,691336360,227884390,587824,76635,119421,109654,113978,127722,117049,43727,32908,14294,199055,163126,120475,124353,43156,416744,227185,5328,138864,211823,156721,98677,32519
20221,11140540,회현동,CS300002,편의점,5305284191,869863,4486709723,818574468,911384644,864044387,804225969,964925548,942129175,527598381,290976087,179181918,1411837794,1137585036,824504787,1223813042,528361614,3217876330,1758305970,29694126,943927488,1668597677,1233620889,872896586,227445529,751383,118480,154238,141352,140588,165589,149616,73991,44489,23609,273984,195521,140048,172045,64656,558101,284080,5371,170597,303064,200379,126535,36242
20221,11140550,명동,CS300002,편의점,9938473441,1536065,8086526147,1851947294,1692775008,1515001855,1567163141,1691062022,1620524121,1085009769,766937525,375381254,2254978929,1981338967,1732385746,2423165733,1171222812,5705340376,3413317848,62967886,2287043890,2797903216,2155984634,1361391768,453366827,1307949,228116,268754,251553,253291,280775,253576,131896,96220,46596,464221,324372,254956,313461,132459,960965,513797,9858,361099,475447,353644,204414,70298
20221,11140570,필동,CS300002,편의점,1556911322,237320,1243617825,313293497,244784344,244063162,237478582,268941177,248350560,180745400,132548097,56843263,321429007,258311889,240971015,422522034,256834114,1005538554,410572205,12212895,384174290,335467589,297024536,265998152,121233298,192702,44618,37787,37777,37523,42306,37309,24650,19968,7287,58028,45690,37616,58160,30539,157871,68029,3581,66215,56248,44513,39670,15674
