상호명,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,경도,위도
씨스페이스자양,서울특별시,11215,광진구,11215847,자양4동,1121510500,자양동,127.0622408,37.53640104
세븐송파최고점,서울특별시,11710,송파구,11710580,송파1동,1171010400,송파동,127.1093384,37.51003954
씨유홍은,서울특별시,11410,서대문구,11410660,홍은1동,1141011800,홍은동,126.94466,37.59900565
지에스25중화타운점,서울특별시,11260,중랑구,11260610,중화2동,1126010300,중화동,127.0719269,37.59620364
이마트24응암스카이점,서울특별시,11380,은평구,11380590,응암2동,1138010700,응암동,126.9241567,37.59465148
씨유방화오피스,서울특별시,11500,강서구,11500640,방화2동,1150010900,방화동,126.8074835,37.56324539
세븐일레븐화곡,서울특별시,11500,강서구,11500590,화곡본동,1150010300,화곡동,126.8450759,37.54508254
지에스25신당역점,서울특별시,11140,중구,11140670,황학동,1114016500,황학동,127.0226264,37.56562564
지에스25창동삼성,서울특별시,11320,도봉구,11320511,창1동,1132010700,창동,127.0473326,37.65039242
씨유고덕,서울특별시,11740,강동구,11740525,상일1동,1174010300,상일동,127.1704655,37.55215198
세븐당고개점주,서울특별시,11350,노원구,11350665,상계3.4동,1135010500,상계동,127.0784137,37.67016141
GS25논현금옥점,서울특별시,11680,강남구,11680521,논현1동,1168010800,논현동,127.0250424,37.51294368
일진마트,서울특별시,11350,노원구,11350570,월계2동,1135010200,월계동,127.0578778,37.62975518
세븐논현13호점주,서울특별시,11680,강남구,11680531,논현2동,1168010800,논현동,127.0375091,37.51705796
씨유성북센터피스점,서울특별시,11290,성북구,11290685,길음2동,1129013400,길음동,127.0275667,37.61040392
이마트24개포래미안점,서울특별시,11680,강남구,11680670,개포2동,1168010300,개포동,127.0644676,37.48130341
CU자양,서울특별시,11215,광진구,11215820,자양1동,1121510500,자양동,127.0817031,37.53767761
봉에프엔비,서울특별시,11680,강남구,11680700,세곡동,1168011300,율현동,127.1048695,37.4687234
세븐일레븐자양타운점,서울특별시,11215,광진구,11215820,자양1동,1121510500,자양동,127.0827166,37.53334309
세븐롯데시티호텔명동점,서울특별시,11140,중구,11140550,명동,1114010900,장교동,126.9879225,37.56709581
런앤런지에스25봉은사점,서울특별시,11680,강남구,11680580,삼성1동,1168010500,삼성동,127.0586822,37.51441841
