기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수
20253,11740700,둔촌2동,6677641
20253,11740690,둔촌1동,30002
20253,11740685,길동,18306303
20253,11740660,성내3동,6680704
20253,11740650,성내2동,8182706
20253,11740640,성내1동,5482732
20253,11740620,천호3동,7537537
20253,11740610,천호2동,10909991
20253,11740600,천호1동,10199559
20253,11740590,암사3동,1651297
20253,11740580,암사2동,2273718
20253,11740570,암사1동,8363335
20253,11740560,고덕2동,2166822
20253,11740550,고덕1동,3548896
20253,11740540,명일2동,2187076
20253,11740530,명일1동,4605872
20253,11740520,상일동,3432533
20253,11740515,강일동,3514014
20253,11710720,잠실7동,703375
20253,11710710,잠실6동,2368425
20253,11710690,잠실4동,2116808
20253,11710680,잠실3동,3597594
20253,11710670,잠실2동,2245535
20253,11710650,잠실본동,8130053
20253,11710647,위례동,3340138
20253,11710646,장지동,7646751
20253,11710642,문정2동,2893688
20253,11710641,문정1동,4305386
20253,11710632,가락2동,5751748
20253,11710631,가락1동,751209
20253,11710620,가락본동,8767193
20253,11710610,삼전동,6228098
20253,11710600,석촌동,6641013
20253,11710590,송파2동,2908636
20253,11710580,송파1동,5637207
20253,11710570,오금동,9692539
20253,11710566,오륜동,740151
20253,11710562,방이2동,6231598
20253,11710561,방이1동,3288095
20253,11710550,마천2동,4745569
20253,11710540,마천1동,2651578
20253,11710532,거여2동,3649798
20253,11710531,거여1동,3418112
20253,11710520,풍납2동,5130542
20253,11710510,풍납1동,4343516
20253,11680750,수서동,2232614
20253,11680740,일원2동,1360721
20253,11680730,일원1동,2493544
20253,11680720,일원본동,2422166
20253,11680700,세곡동,3382325
20253,11680690,개포4동,3410027
20253,11680670,개포2동,2144568
20253,11680660,개포1동,2143956
20253,11680656,도곡2동,4089946
20253,11680655,도곡1동,8695467
20253,11680650,역삼2동,12482409
20253,11680640,역삼1동,20900630
20253,11680630,대치4동,10740014
20253,11680610,대치2동,6783054
20253,11680600,대치1동,4501935
20253,11680590,삼성2동,8923470
20253,11680580,삼성1동,4991598
20253,11680565,청담동,9185850
20253,11680545,압구정동,7593147
20253,11680531,논현2동,11920183
20253,11680521,논현1동,9474796
20253,11680510,신사동,6653298
20253,11650660,내곡동,1843178
20253,11650652,양재2동,5698690
20253,11650651,양재1동,8747732
20253,11650621,방배4동,6246541
20253,11650620,방배3동,3438475
20253,11650610,방배2동,4440915
20253,11650600,방배1동,4397988
20253,11650590,방배본동,4759818
20253,11650581,반포4동,5279474
20253,11650580,반포3동,3302145
20253,11650570,반포2동,1939613
20253,11650560,반포1동,6697039
20253,11650550,반포본동,515061
20253,11650540,잠원동,6977070
20253,11650531,서초4동,6597918
20253,11650530,서초3동,12272542
20253,11650520,서초2동,7092897
20253,11650510,서초1동,7737320
20253,11620775,난곡동,5557997
20253,11620765,미성동,5216546
20253,11620745,삼성동,6866480
20253,11620735,대학동,6344568
20253,11620725,조원동,7930493
20253,11620715,난향동,1380825
20253,11620695,신림동,9702845
20253,11620685,신사동,7263303
20253,11620665,서림동,4925507
20253,11620655,신원동,5957732
20253,11620645,서원동,5254418
20253,11620630,남현동,4133633
20253,11620625,인헌동,5897444
20253,11620615,중앙동,5124150
20253,11620605,은천동,8464236
20253,11620595,청룡동,10872281
20253,11620585,낙성대동,5832003
20253,11620575,행운동,6894554
20253,11620565,성현동,4627906
20253,11620545,청림동,2964442
20253,11620525,보라매동,3455004
20253,11590680,신대방2동,5171957
20253,11590670,신대방1동,3659771
20253,11590660,대방동,7363230
20253,11590651,사당5동,3281095
20253,11590650,사당4동,3902655
20253,11590640,사당3동,5303378
20253,11590630,사당2동,7340358
20253,11590620,사당1동,6423468
20253,11590605,흑석동,5578171
20253,11590560,상도4동,5420016
20253,11590550,상도3동,4641678
20253,11590540,상도2동,4830381
20253,11590530,상도1동,7858301
20253,11590520,노량진2동,2807850
20253,11590510,노량진1동,6079001
20253,11560720,대림3동,6627927
20253,11560710,대림2동,4616194
20253,11560700,대림1동,4155361
20253,11560690,신길7동,3662659
20253,11560680,신길6동,5973799
20253,11560670,신길5동,2915361
20253,11560660,신길4동,2503634
20253,11560650,신길3동,6230816
20253,11560630,신길1동,5547237
20253,11560620,양평2동,4830869
20253,11560610,양평1동,4966688
20253,11560605,문래동,9426403
20253,11560585,도림동,5405206
20253,11560560,당산2동,8836363
20253,11560550,당산1동,7187765
20253,11560540,여의동,6602277
20253,11560535,영등포동,10726612
20253,11560515,영등포본동,6486570
20253,11545710,시흥5동,3354825
20253,11545700,시흥4동,2096861
20253,11545690,시흥3동,1286567
20253,11545680,시흥2동,1417429
20253,11545670,시흥1동,5236760
20253,11545640,독산4동,3767043
20253,11545630,독산3동,4658919
20253,11545620,독산2동,3124018
20253,11545610,독산1동,5150224
20253,11545510,가산동,5021514
20253,11530800,항동,952480
20253,11530790,수궁동,1662721
20253,11530780,오류2동,4858100
20253,11530770,오류1동,4204366
20253,11530760,개봉3동,4520278
20253,11530750,개봉2동,3655060
20253,11530740,개봉1동,7428185
20253,11530730,고척2동,5132492
20253,11530720,고척1동,4618066
20253,11530595,가리봉동,3061308
20253,11530560,구로5동,6782552
20253,11530550,구로4동,7382627
20253,11530540,구로3동,7335700
20253,11530530,구로2동,8823115
20253,11530520,구로1동,1912035
20253,11530510,신도림동,6482714
20253,11500641,방화3동,2377548
20253,11500640,방화2동,3926083
20253,11500630,방화1동,7236902
20253,11500620,공항동,5412543
20253,11500615,우장산동,7200082
20253,11500611,발산1동,5485939
20253,11500605,가양3동,1497068
20253,11500604,가양2동,1911901
20253,11500603,가양1동,3140169
20253,11500593,화곡8동,9879214
20253,11500591,화곡6동,5220479
20253,11500590,화곡본동,8214328
20253,11500570,화곡4동,3855517
20253,11500560,화곡3동,3495630
20253,11500550,화곡2동,3786468
20253,11500540,화곡1동,16469502
20253,11500535,등촌3동,6951747
20253,11500530,등촌2동,3894385
20253,11500520,등촌1동,4454462
20253,11500510,염창동,8160827
20253,11470680,신정7동,2919926
20253,11470670,신정6동,1972479
20253,11470650,신정4동,10637526
20253,11470640,신정3동,7225369
20253,11470630,신정2동,4421396
20253,11470620,신정1동,3113363
20253,11470611,신월7동,2005525
20253,11470610,신월6동,827832
20253,11470600,신월5동,2705193
20253,11470590,신월4동,3274435
20253,11470580,신월3동,2644888
20253,11470570,신월2동,3476219
20253,11470560,신월1동,3869878
20253,11470550,목5동,4780698
20253,11470540,목4동,5479844
20253,11470530,목3동,4937827
20253,11470520,목2동,6463142
20253,11470510,목1동,4584331
20253,11440740,상암동,5380944
20253,11440730,성산2동,6388091
20253,11440720,성산1동,5959723
20253,11440710,연남동,6346996
20253,11440700,망원2동,5588947
20253,11440690,망원1동,6696623
20253,11440680,합정동,4484725
20253,11440660,서교동,17334585
20253,11440655,서강동,6153635
20253,11440630,신수동,4825816
20253,11440610,염리동,5747906
20253,11440600,대흥동,7037790
20253,11440590,용강동,5714271
20253,11440585,도화동,3908046
20253,11440565,공덕동,12192896
20253,11440555,아현동,7686071
20253,11410720,북가좌2동,9419773
20253,11410710,북가좌1동,2569931
20253,11410700,남가좌2동,5931753
