행정동코드,행정동명,유동인구_구간,평균_유동인구,편의점_수,평균_매출(원),편의점당_매출(원),주말_매출_비율(%),여성_매출_비율(%),20대_매출_비율(%),30대_매출_비율(%),60대+_매출_비율(%),야간_매출_비율(%),점심_매출_비율(%)
11680750,수서동,1_하위20%,2236113,14,8699190278,621370734,25.4,43.3,17.1,29,10,12.7,18.2
11710642,문정2동,1_하위20%,2826795,62,8332065322,134388150,18,36.8,19.2,32.8,5.3,14.8,20.8
11680720,일원본동,1_하위20%,2480840,14,6533498203,466678443,18.3,53.2,10.1,23.8,19.8,9.1,24.1
11140520,소공동,1_하위20%,2709080,49,6392294656,130454993,10.9,38.4,16.9,29.7,5.4,8.8,25.4
11170650,이태원1동,1_하위20%,2595249,20,6196627455,309831373,38.2,36.4,30.3,32.6,9.1,42.7,9.9
11710710,잠실6동,1_하위20%,2398580,20,3553436760,177671838,32,46.7,26.4,29.8,5.5,13.3,18.9
11470680,신정7동,1_하위20%,3082010,8,3387737926,423467241,30.7,54.8,13.5,18.5,9.2,19,18.3
11140570,필동,1_하위20%,2381580,34,2702725713,79491933,16.1,34.4,30.6,18.5,8.2,15.3,20.9
11590520,노량진2동,1_하위20%,3274477,14,2604293393,186020957,26.7,36,27.8,29.9,8.7,29,14.5
11500604,가양2동,1_하위20%,2076120,6,2521281157,420213526,27.8,37.6,15.4,31.1,16.9,26.2,14.7
11545700,시흥4동,1_하위20%,2304953,12,2408224543,200685379,29.1,35.3,13.3,24.8,15.4,31.2,10.4
11650570,반포2동,1_하위20%,1624916,10,2017123253,201712325,41.2,39.5,23.1,22.8,7.1,27.1,11.1
11170530,남영동,1_하위20%,2146524,28,1781698269,63632081,22.8,42.2,24.9,29,5.3,21.7,16.7
11290640,정릉3동,1_하위20%,2913613,27,1772984788,65666103,28,33,25.3,18.5,10.5,34.8,11.1
11320700,방학2동,1_하위20%,2943425,18,1768023277,98223515,30.4,33.8,10,19.3,20.1,26.2,13
11110670,창신1동,1_하위20%,2902478,10,1650079367,165007937,28.1,44.3,22.3,26.6,13.2,26.3,16
