행정동_코드_명,주요_상권유형,점포_수,총_유동인구_수,당월_매출_금액,예측_매출,잔차,잔차율,실제(억),예측(억),차이(억),유동인구(만)
가산동,골목상권,25,5021514,22344722557.0,9940313887.21715,12404408669.78285,124.78890315258985,223.44722557,99.4031388721715,124.0440866978285,502.1514
역삼1동,골목상권,42,20900630,31364117463.0,19679224702.848206,11684892760.151794,59.376794241597445,313.64117463,196.79224702848205,116.84892760151794,2090.063
수서동,발달상권,6,2232614,9268815295.0,3308950730.5378633,5959864564.462137,180.11342717978073,92.68815295,33.08950730537863,59.59864564462137,223.2614
성수2가3동,골목상권,8,5852391,9186121708.0,3308540530.7539334,5877581177.246067,177.6487584967476,91.86121708,33.08540530753933,58.77581177246067,585.2391
서교동,골목상권,41,17334585,23861343030.0,18616944540.0858,5244398489.9142,28.17002800122232,238.6134303,186.169445400858,52.443984899141995,1733.4585
명동,발달상권,29,5712576,18358021547.0,13137456834.68472,5220564712.315281,39.73801610165722,183.58021547,131.37456834684718,52.20564712315281,571.2576
대치4동,발달상권,22,10740014,16461119135.0,11277936387.901804,5183182747.098196,45.95860952592673,164.61119135,112.77936387901804,51.83182747098196,1074.0014
일원본동,미분류,5,2422166,6982828107.0,1912547614.950715,5070280492.049285,265.1061051978014,69.82828107,19.12547614950715,50.70280492049285,242.2166
서초2동,골목상권,10,7092897,8403851469.0,4337591041.269609,4066260427.7303905,93.74467046437368,84.03851469,43.37591041269609,40.662604277303906,709.2897
화곡1동,골목상권,12,16469502,10895291481.0,6879507414.410004,4015784066.5899963,58.373133782491834,108.95291481,68.79507414410004,40.15784066589996,1646.9502
자양3동,골목상권,4,6440637,5799479433.0,1821152286.4215627,3978327146.5784373,218.4510969368505,57.99479433,18.211522864215627,39.783271465784374,644.0637
오류1동,골목상권,8,4204366,6843749788.0,3002098738.0407305,3841651049.9592695,127.96551296865269,68.43749788,30.020987380407306,38.4165104995927,420.4366
신림동,골목상권,6,9702845,7058607080.0,3226127910.4591026,3832479169.5408974,118.79501606604018,70.5860708,32.261279104591026,38.324791695408976,970.2845
구로3동,골목상권,13,7335700,9411400556.0,5580316190.595508,3831084365.4044924,68.65353565199422,94.11400556,55.80316190595508,38.31084365404492,733.57
성내2동,골목상권,4,8182706,5817784216.0,2145081078.3938308,3672703137.606169,171.2151197732896,58.17784216,21.45081078393831,36.727031376061696,818.2706
