행정동_코드_명,주요_상권유형,점포_수,총_유동인구_수,당월_매출_금액,예측_매출,잔차,잔차율,실제(억),예측(억),차이(억),유동인구(만)
강일동,골목상권,14,3514014,788423881.0,5268885680.447668,-4480461799.447668,-85.03623102080643,7.88423881,52.68885680447668,-44.80461799447668,351.4014
상봉1동,골목상권,13,4764936,767826512.0,5102295815.417604,-4334469303.417604,-84.95135249352145,7.67826512,51.022958154176045,-43.344693034176046,476.4936
신도림동,골목상권,13,6482714,1410574208.0,5421707820.577295,-4011133612.5772953,-73.98284351203189,14.10574208,54.21707820577295,-40.11133612577295,648.2714
공덕동,골목상권,9,12192896,1137353121.0,4886717294.72753,-3749364173.7275295,-76.72562064870962,11.37353121,48.86717294727529,-37.4936417372753,1219.2896
공항동,골목상권,13,5412543,1501221953.0,5222715014.188023,-3721493061.1880226,-71.25590906412121,15.01221953,52.22715014188022,-37.21493061188023,541.2543
연희동,골목상권,14,8695357,2878198306.0,6232329825.762216,-3354131519.7622156,-53.81826080348699,28.78198306,62.323298257622156,-33.541315197622154,869.5357
월계1동,골목상권,13,4504796,1824345831.0,5053924117.199183,-3229578286.1991835,-63.90238973332612,18.24345831,50.53924117199183,-32.29578286199183,450.4796
구로2동,골목상권,10,8823115,1452143347.0,4659316200.599506,-3207172853.5995064,-68.83355229651177,14.52143347,46.59316200599506,-32.071728535995064,882.3115
화곡본동,골목상권,10,8214328,1381161784.0,4546115381.643185,-3164953597.6431847,-69.61885768282498,13.81161784,45.461153816431846,-31.649535976431846,821.4328
신정4동,골목상권,17,10637526,4631952263.0,7791043363.320007,-3159091100.3200073,-40.54772837220893,46.31952263,77.91043363320007,-31.590911003200073,1063.7526
용신동,골목상권,16,13912687,5040741436.0,8000850353.9444275,-2960108917.9444275,-36.99742886060968,50.40741436,80.00850353944428,-29.601089179444276,1391.2687
영등포본동,골목상권,11,6486570,1671465097.0,4624040039.1247015,-2952574942.1247015,-63.85271141993838,16.71465097,46.240400391247015,-29.525749421247014,648.657
구의3동,발달상권,13,6410788,4061725412.0,6880207494.610975,-2818482082.6109753,-40.96507387049872,40.61725412,68.80207494610976,-28.184820826109753,641.0788
수유1동,골목상권,11,5777265,1785231485.0,4492148413.82749,-2706916928.82749,-60.25884898404522,17.85231485,44.9214841382749,-27.0691692882749,577.7265
한강로동,골목상권,14,5890768,3019640506.0,5710830891.593298,-2691190385.593298,-47.12432282936095,30.19640506,57.10830891593298,-26.91190385593298,589.0768
