기준_년분기_코드,행정동_코드,행정동_코드_명,당월_매출_금액,당월_매출_건수,점포_수,총_유동인구_수,주요_상권유형,연도,분기
20221,11110515,청운효자동,1202573186.0,179263,4,3627519,골목상권,2022,1
20221,11110530,사직동,3761850443.0,659962,4,3402653,골목상권,2022,1
20221,11110540,삼청동,1226802003.0,138702,1,821735,발달상권,2022,1
20221,11110550,부암동,607056495.0,79978,2,1283546,골목상권,2022,1
20221,11110560,평창동,568959905.0,72916,3,823714,골목상권,2022,1
20221,11110570,무악동,657452867.0,109312,0,1859503,골목상권,2022,1
20221,11110580,교남동,735179324.0,110288,6,3853931,골목상권,2022,1
20221,11110600,가회동,680488447.0,100516,1,1255813,골목상권,2022,1
20221,11110615,종로1·2·3·4가동,9632026498.0,1475511,20,12013656,관광특구,2022,1
20221,11110630,종로5·6가동,3176634857.0,471385,5,6168567,전통시장,2022,1
20221,11110640,이화동,4182941140.0,659950,3,3431620,골목상권,2022,1
20221,11110650,혜화동,1141551220.0,194680,7,8469184,골목상권,2022,1
20221,11110670,창신1동,1634730976.0,184209,1,2985441,전통시장,2022,1
20221,11110690,창신3동,112538624.0,13476,0,1220959,골목상권,2022,1
20221,11110700,숭인1동,396190063.0,54229,4,2210888,골목상권,2022,1
20221,11110710,숭인2동,1709586861.0,254596,2,5305428,골목상권,2022,1
20221,11140520,소공동,4634471344.0,664459,11,2332832,관광특구,2022,1
20221,11140540,회현동,5305284191.0,869863,21,3946732,전통시장,2022,1
20221,11140550,명동,9938473441.0,1536065,27,4441054,발달상권,2022,1
20221,11140570,필동,1556911322.0,237320,3,2084156,골목상권,2022,1
20221,11140580,장충동,720507669.0,115649,3,2100143,골목상권,2022,1
20221,11140590,광희동,7855918682.0,1048207,9,5429807,관광특구,2022,1
20221,11140605,을지로동,5681350682.0,835664,5,4789733,전통시장,2022,1
20221,11140615,신당동,3344411694.0,396955,4,5806240,전통시장,2022,1
20221,11140625,다산동,1943914555.0,212581,0,4072270,골목상권,2022,1
20221,11140635,약수동,1446471787.0,216144,4,2328694,골목상권,2022,1
20221,11140645,청구동,1005110467.0,136250,1,3269723,골목상권,2022,1
20221,11140650,신당5동,769793177.0,116638,0,4743028,골목상권,2022,1
20221,11140665,동화동,1375861764.0,193213,4,2472955,전통시장,2022,1
20221,11140670,황학동,679943163.0,93987,2,6174659,전통시장,2022,1
20221,11140680,중림동,648734467.0,95236,1,2155433,골목상권,2022,1
20221,11170510,후암동,1704176003.0,228851,3,4393223,골목상권,2022,1
20221,11170520,용산2가동,1163167147.0,152768,1,4919764,골목상권,2022,1
20221,11170530,남영동,1532470627.0,189817,9,2164338,골목상권,2022,1
20221,11170555,청파동,3119245293.0,460800,4,7669173,골목상권,2022,1
20221,11170560,원효로1동,1797340537.0,242171,6,5289436,골목상권,2022,1
20221,11170570,원효로2동,1290021394.0,178576,2,3988232,골목상권,2022,1
20221,11170580,효창동,133198896.0,17988,2,4104390,골목상권,2022,1
20221,11170590,용문동,605267931.0,80271,2,3027455,골목상권,2022,1
20221,11170625,한강로동,2855037580.0,408651,18,4882699,골목상권,2022,1
20221,11170640,이촌2동,850403647.0,115446,1,1858892,골목상권,2022,1
20221,11170650,이태원1동,7254474850.0,760899,7,2458747,관광특구,2022,1
20221,11170660,이태원2동,1177550244.0,142908,3,2846523,골목상권,2022,1
20221,11170685,한남동,3178992090.0,445020,4,6027435,골목상권,2022,1
20221,11170690,서빙고동,341215493.0,41036,6,1993764,골목상권,2022,1
20221,11170700,보광동,1748513325.0,201051,1,4353112,골목상권,2022,1
20221,11200520,왕십리2동,750279682.0,107591,1,4639702,골목상권,2022,1
20221,11200535,왕십리도선동,2639616424.0,352126,11,6172639,골목상권,2022,1
20221,11200540,마장동,2506279323.0,318007,2,5597592,골목상권,2022,1
20221,11200550,사근동,3980479075.0,855309,10,4063205,골목상권,2022,1
20221,11200560,행당1동,1925658419.0,322190,10,3878188,골목상권,2022,1
20221,11200570,행당2동,770718165.0,113855,2,4903561,미분류,2022,1
20221,11200590,금호1가동,387118140.0,53282,0,4041581,골목상권,2022,1
20221,11200615,금호2·3가동,1011128708.0,133109,5,6738504,골목상권,2022,1
20221,11200620,금호4가동,281479806.0,35746,3,3018820,골목상권,2022,1
20221,11200645,옥수동,291246325.0,39609,2,3084897,골목상권,2022,1
20221,11200650,성수1가1동,267328736.0,41104,3,3059536,골목상권,2022,1
20221,11200660,성수1가2동,2441051356.0,376386,6,5549629,골목상권,2022,1
20221,11200670,성수2가1동,2960216563.0,392827,4,5407268,골목상권,2022,1
20221,11200690,성수2가3동,8021478201.0,1283970,7,5350939,골목상권,2022,1
20221,11200720,송정동,730111053.0,99303,1,3426911,골목상권,2022,1
20221,11200790,용답동,1504040904.0,230542,5,3371728,골목상권,2022,1
20221,11215710,화양동,9206390346.0,1219729,20,9321796,골목상권,2022,1
20221,11215730,군자동,1599766411.0,233885,3,5365511,골목상권,2022,1
20221,11215740,중곡1동,2519230462.0,325581,2,4088856,골목상권,2022,1
20221,11215750,중곡2동,2224333351.0,310210,8,5043000,골목상권,2022,1
20221,11215760,중곡3동,1496959994.0,210440,3,4869782,골목상권,2022,1
