group1,group2,meandiff,p-adj,lower,upper,reject
골목상권,관광특구,5770113096.9766,0.0,4898201597.7899,6642024596.1634,True
골목상권,미분류,-1163054251.8185,0.0,-1622886346.9756,-703222156.6613,True
골목상권,발달상권,3771815956.391,0.0,3284751487.4614,4258880425.3207,True
골목상권,전통시장,361650232.9457,0.3799,-189877904.2983,913178370.1897,False
관광특구,미분류,-6933167348.7951,0.0,-7905533282.5335,-5960801415.0567,True
관광특구,발달상권,-1998297140.5856,0.0,-2983833416.0478,-1012760865.1233,True
관광특구,전통시장,-5408462864.0309,0.0,-6427400172.9612,-4389525555.1006,True
미분류,발달상권,4934870208.2095,0.0,4284872020.847,5584868395.5721,True
미분류,전통시장,1524704484.7642,0.0,825098071.9486,2224310897.5798,True
발달상권,전통시장,-3410165723.4453,0.0,-4127964702.2756,-2692366744.615,True
