dessert,age_group,half_life_months,peak_ratio
달고나커피,10대,1.0,100.0
달고나커피,20대,1.0,100.0
달고나커피,30대,2.0,100.0
달고나커피,40대,2.0,100.0
달고나커피,50대이상,2.0,100.0
크로플,10대,9.0,7.09728
크로플,20대,6.0,21.74118
크로플,30대,9.0,11.33419
크로플,40대,5.0,10.70694
크로플,50대이상,6.0,16.73794
수제도넛,10대,37.0,3.16636
수제도넛,20대,28.0,2.97432
수제도넛,30대,44.0,1.79973
수제도넛,40대,31.0,3.14171
수제도넛,50대이상,1.0,7.43414
바스크치즈케이크,10대,2.0,2.95584
바스크치즈케이크,20대,16.0,4.47959
바스크치즈케이크,30대,16.0,3.43875
바스크치즈케이크,40대,10.0,3.54548
바스크치즈케이크,50대이상,1.0,13.89529
르뱅쿠키,10대,4.0,14.93606
르뱅쿠키,20대,17.0,15.58943
르뱅쿠키,30대,15.0,15.92017
르뱅쿠키,40대,9.0,13.56222
르뱅쿠키,50대이상,8.0,10.39056
소금빵,10대,3.0,65.43222
소금빵,20대,9.0,36.70273
소금빵,30대,9.0,36.19363
소금빵,40대,11.0,51.02092
소금빵,50대이상,9.0,68.12361
버터바,10대,14.0,15.29411
버터바,20대,13.0,18.64175
버터바,30대,15.0,12.94933
버터바,40대,15.0,11.02473
버터바,50대이상,2.0,10.59322
약과,10대,6.0,100.0
약과,20대,2.0,100.0
약과,30대,2.0,100.0
약과,40대,2.0,100.0
약과,50대이상,3.0,100.0
휘낭시에,10대,38.0,8.68538
휘낭시에,20대,27.0,14.35643
휘낭시에,30대,21.0,16.7904
휘낭시에,40대,29.0,11.76149
휘낭시에,50대이상,1.0,23.49809
카눌레,10대,1.0,5.00181
카눌레,20대,7.0,10.35978
카눌레,30대,1.0,16.86582
카눌레,40대,1.0,13.48294
카눌레,50대이상,1.0,18.43106
탕후루,10대,2.0,100.0
탕후루,20대,2.0,100.0
탕후루,30대,3.0,100.0
탕후루,40대,2.0,100.0
탕후루,50대이상,3.0,100.0
그릭요거트,10대,2.0,55.1472
그릭요거트,20대,2.0,70.03887
그릭요거트,30대,1.0,76.88586
그릭요거트,40대,1.0,55.40553
그릭요거트,50대이상,1.0,64.98799
두바이초콜릿,10대,,100.0
두바이초콜릿,20대,,100.0
두바이초콜릿,30대,,100.0
두바이초콜릿,40대,,100.0
두바이초콜릿,50대이상,,100.0
망고사고,10대,6.0,10.05244
망고사고,20대,4.0,5.94323
망고사고,30대,2.0,4.82203
망고사고,40대,3.0,3.20841
망고사고,50대이상,1.0,4.17128
요거트아이스크림,10대,1.0,87.9639
요거트아이스크림,20대,2.0,50.92449
요거트아이스크림,30대,2.0,73.91915
요거트아이스크림,40대,3.0,68.8455
요거트아이스크림,50대이상,3.0,32.74292
크루키,10대,6.0,2.68304
크루키,20대,2.0,6.80276
크루키,30대,2.0,4.26584
크루키,40대,1.0,1.77107
크루키,50대이상,1.0,1.6475
아사이볼,10대,5.0,95.47752
아사이볼,20대,5.0,86.65639
아사이볼,30대,3.0,90.64365
아사이볼,40대,2.0,52.7398
아사이볼,50대이상,2.0,44.63986
