title,date,url,content,parsed_date,year,month,year_month,region,districts,sentiment_score,positive_count,negative_count,sentiment_label
강남3구·용산 빼고 규제 확 푼다…“거래절벽 다소 완화될듯”,2023.01.02 19:19,https://www.joongang.co.kr/article/25130696,"정부가 서울 강남 3구와 용산구만 남기고 부동산 규제지역을 모두 푼다. 여권 고위 관계자는 2일 ""강남·서초·송파구 등 강남 3구와 용산구를 제외하고 부동산 관련 규제를 몽땅 다 풀 것""이라고 말했다. 문재인 정부 때 부동산 급등세를 막기 위해 내놨던 각종 규제를 대거 푸는 것으로, 투기지역·투기과열지구·조정대상지역 등 규제지역 전면 해제가 유력하다.",2023-01-02,2023,1,2023-01,송파구,송파구,-0.6,1,4,부정
"""강남 새 아파트 수난시대""…전셋값 폭락에 입주권도 10억 뚝",2023.01.03 17:05,https://www.joongang.co.kr/article/25130942,"새 아파트에 입주할 수 있는 입주권 가격이 인근 기존 아파트보다 낮은 가격에 거래되고, 전셋집 역시 기존 아파트 전셋값보다 낮게 계약되는 경우가 잇따른다. 3일 국토교통부 실거래가 공개시스템에 따르면 다음 달 말 입주를 시작하는 서울 강남구 개포동 개포자이프레지던스(옛 개포주공 4단지) 전용면적 84㎡ 입주권이 최고 거래가(2021년 11월 29억5000만원)보다 10억원 가까이 떨어진 20억원에 거래된 것으로 확인됐다. 오는 11월 입주 예정인 개포동 디에이치퍼스티어아이파크(옛 개포주공 1단지) 전용 84㎡의 입주권 가격도 지난해 4월 29억3000만원에 거래됐던 것이 7개월 만인 11월 23억원까지 내렸다.",2023-01-03,2023,1,2023-01,강남구,강남구,0.0,1,1,중립
강남·용산 외 부동산 규제 푼다,2023.01.03 00:18,https://www.joongang.co.kr/article/25130779,"정부가 서울 강남 3구와 용산구만 남기고 부동산 규제지역을 모두 푼다. 여권 고위 관계자는 2일 ""강남·서초·송파구 등 강남 3구와 용산구를 제외하고 부동산 관련 규제를 몽땅 다 풀 것""이라고 말했다. 문재인 정부 때 부동산 급등세를 막기 위해 내놨던 각종 규제를 대거 푸는 것으로, 투기지역·투기과열지구·조정대상지역 등 규제지역 전면 해제가 유력하다.",2023-01-03,2023,1,2023-01,송파구,송파구,-0.5,1,3,부정
서울서 4번째 ‘입지 끝판왕’…한강 780m 품은 신반포 2차유료 전용,2023.01.03 16:35,https://www.joongang.co.kr/article/25130929,"한강 변에 위치한 서울 서초구 잠원동 신반포2차아파트의 김영일 재건축조합장에게 아파트의 장점에 관해 묻자 이렇게 답했습니다. 재건축을 해도 한 개 동 이상이 들어설 수 없는데, 박원순 전 시장 시절인 2015년 만들어진 서울시 도시기본계획 2030플랜에서는 한강 변 첫 주동(한강 변에서 가장 가까운 아파트 동)의 높이를 15층 이하로 제시하고 있습니다. 최근 서울시의회가 신통기획에 참여한 재건축 단지의 경우 시공사 선정을 기존 사업시행인가 이후에서 조합 설립 이후로 앞당기는 개정 조례안을 통과하면서 조합은 시공사 선정도 준비 중입니다.",2023-01-03,2023,1,2023-01,서초구,서초구,1.0,1,0,긍정
"입주권 10억 뚝, 전셋값 하락…강남 신축 아파트도 꺾였다",2023.01.04 00:02,https://www.joongang.co.kr/article/25131030,"새 아파트에 입주할 수 있는 입주권 가격이 인근 기존 아파트보다 낮은 가격에 거래되고, 전셋집 역시 기존 아파트 전셋값보다 낮게 계약되는 경우가 잇따른다. 3일 국토교통부 실거래가 공개시스템에 따르면 다음 달 말 입주를 시작하는 서울 강남구 개포동 개포자이프레지던스(옛 개포주공 4단지) 전용면적 84㎡ 입주권이 최고 거래가(2021년 11월 29억5000만원)보다 10억원 가까이 떨어진 20억원에 거래된 것으로 확인됐다. 오는 11월 입주 예정인 개포동 디에이치퍼스티어아이파크(옛 개포주공 1단지) 전용 84㎡의 입주권 가격도 지난해 4월 29억3000만원에 거래됐던 것이 7개월 만인 11월 23억원까지 내렸다.",2023-01-04,2023,1,2023-01,강남구,강남구,0.0,1,1,중립
'영끌족 꿈' 헬리오시티 추락…'넉달새 4억' 잇단 손절매 쇼크,2023.01.07 05:00,https://www.joongang.co.kr/article/25131829,국토부 실거래가공개시스템에 올라온 지난해 12월 헬리오시티 84㎡ 거래 4건 중 두 건이 위의 초단기 손절매다. 중개업소들에 따르면 지난해 7월 처음으로 손절매가 나오기 시작해 가팔라진 집값 하락세와 맞물려 10월부터 잇따랐다. 국토부 실거래가공개시스템에 따르면 잠실동 일대 ‘엘리트’(잠실엘스·리센츠·트리지움)와 헬리오시티 거래량이 토지거래허가구역 지정 전·후 뒤바뀌었다.,2023-01-07,2023,1,2023-01,송파구,송파구,-1.0,0,1,부정
‘평당 1억’ 아리팍 후광효과…금리쇼크도 견딘 신반포2차유료 전용,2023.01.10 14:26,https://www.joongang.co.kr/article/25132526,"이 단지 재건축조합이 서울시의 신속통합기획(신통기획)에 합류하기로 결정한 이후 토지거래허가구역에 묶인 것도 이런 거래 가뭄의 원인이 됐습니다. 신반포1차를 2016년 재건축한 아크로리버파크가 한강 변 아파트의 가치를 높이면서 가격 상승을 이끌었고, 이 효과로 반포 지역 일대 아파트값이 ‘키 맞추기’를 했다는 설명입니다. 이 단지에서 영업 중인 한 공인중개사는 ""단지 인근의 신반포4차의 경우 신통기획 합류가 무산되면서 급매물이나 경매 물건이 출회되고 있지만, 이 단지는 이렇다 할 움직임이 감지되고 있지 않다""고 말합니다.",2023-01-10,2023,1,2023-01,서초구,서초구,0.3333333333333333,2,1,긍정
"7년새 2배 껑충 ""10억 더 간다""...고금리도 이긴 이 아파트 비결",2023.01.11 00:17,https://www.joongang.co.kr/article/25132695,"이 단지와 같은 해(1978년)에 지어진 송파구 잠실동 잠실주공5단지의 동일 면적(34평) 가격인 9억3000만원(7층)과 1억원 정도 차이를 보였다. 입주 초기 아크로리버파크 34평형(전용면적 84㎡)의 실거래 가격은 22억원(최고가 기준) 수준이었다. 서초구가 소유한 단지 북측의 땅을 아파트 대지에 포함해 계산해 보면 재건축 시 조합이 부담해야 할 임대아파트는 300가구 이상에서 263가구 수준으로 줄고, 조합원은 27평형(전용 64㎡) 이상의 아파트를 배정받을 수 있을 것으로 보인다.",2023-01-11,2023,1,2023-01,서초구,"서초구, 송파구",0.3333333333333333,2,1,긍정
"왕년엔 압구정 한양 맞먹었다, 마포 대장주 벼르는 성산시영유료 전용",2023.01.17 14:47,https://www.joongang.co.kr/article/25134291,"지난 16일 서울 마포구 성산동 성산시영아파트 단지에서 만난 주민 최모(65)씨 얘기입니다. 안전진단은 재건축 사업의 첫 관문으로 ‘아파트가 너무 낡고 불편해 새로 지어야 한다’고 공인받는 절차입니다. 그 결과 주거환경(10점 만점 중 9.3점)과 개발 호재(6.8점), 단지 규모(6.6점), 대중교통(6.5점) 등은 높은 점수를 받았지만 교육(3.4점)과 주변 신축도(4.2점) 점수는 비교적 낮았습니다.",2023-01-17,2023,1,2023-01,강남구,강남구,1.0,3,0,긍정
"폭락의 중심에서 '바닥'을 외치다?…""잠실, 거래 늘고 하락 멈춰""",2023.01.21 06:00,https://www.joongang.co.kr/article/25135263,"지난 19일 서울 송파구 잠실동 일대에서 만난 공인중개사들은 잠실 대단지 아파트를 중심으로 최근 거래가 늘고 하락이 사실상 멈춘 상태라고 입을 모았다. 잠실엘스 전용 84㎡는 2021년 10월 27억원(14층)까지 거래됐던 것이 지난해 9월 처음 심리적 지지 가격인 20억원 밑으로 떨어졌고, 지난해 10월 19억원(11층)까지 하락했다. 윤지해 부동산R114 수석연구원은 ""송파, 강동, 노원 등 2021년 가격이 크게 올랐다가 조정이 일찍 시작돼 큰 폭의 하락세를 보인 지역 중심으로 거래량이 늘고 있다""며 ""수요자가 수용 가능한 가격 선까지 가격이 내려가면서 매수 심리가 회복되고 거래가 이뤄지는 것""이라고 설명했다.",2023-01-21,2023,1,2023-01,송파구,송파구,-0.2,2,3,부정
