디저트,연령대,반감기(월),피크값
달고나커피,10대,1.0,100.0
달고나커피,20대,1.0,100.0
달고나커피,30대,2.0,100.0
달고나커피,40대,2.0,100.0
달고나커피,50대이상,2.0,100.0
크로플,10대,9.0,7.1
크로플,20대,6.0,21.74
크로플,30대,9.0,11.33
크로플,40대,5.0,10.71
크로플,50대이상,6.0,16.74
수제도넛,10대,37.0,3.17
수제도넛,20대,28.0,2.97
수제도넛,30대,44.0,1.8
수제도넛,40대,31.0,3.14
수제도넛,50대이상,1.0,7.43
바스크치즈케이크,10대,2.0,2.96
바스크치즈케이크,20대,16.0,4.48
바스크치즈케이크,30대,16.0,3.44
바스크치즈케이크,40대,10.0,3.55
바스크치즈케이크,50대이상,1.0,13.9
르뱅쿠키,10대,4.0,14.94
르뱅쿠키,20대,17.0,15.59
르뱅쿠키,30대,15.0,15.92
르뱅쿠키,40대,9.0,13.56
르뱅쿠키,50대이상,8.0,10.39
소금빵,10대,3.0,65.43
소금빵,20대,9.0,36.7
소금빵,30대,9.0,36.19
소금빵,40대,11.0,51.02
소금빵,50대이상,9.0,68.12
버터바,10대,14.0,15.29
버터바,20대,13.0,18.64
버터바,30대,15.0,12.95
버터바,40대,15.0,11.02
버터바,50대이상,2.0,10.59
약과,10대,6.0,100.0
약과,20대,2.0,100.0
약과,30대,2.0,100.0
약과,40대,2.0,100.0
약과,50대이상,3.0,100.0
휘낭시에,10대,38.0,8.69
휘낭시에,20대,27.0,14.36
휘낭시에,30대,21.0,16.79
휘낭시에,40대,29.0,11.76
휘낭시에,50대이상,1.0,23.5
카눌레,10대,1.0,5.0
카눌레,20대,7.0,10.36
카눌레,30대,1.0,16.87
카눌레,40대,1.0,13.48
카눌레,50대이상,1.0,18.43
탕후루,10대,2.0,100.0
탕후루,20대,2.0,100.0
탕후루,30대,3.0,100.0
탕후루,40대,2.0,100.0
탕후루,50대이상,3.0,100.0
그릭요거트,10대,2.0,55.15
그릭요거트,20대,2.0,70.04
그릭요거트,30대,1.0,76.89
그릭요거트,40대,1.0,55.41
그릭요거트,50대이상,1.0,64.99
두바이초콜릿,10대,,100.0
두바이초콜릿,20대,,100.0
두바이초콜릿,30대,,100.0
두바이초콜릿,40대,,100.0
두바이초콜릿,50대이상,,100.0
망고사고,10대,6.0,10.05
망고사고,20대,4.0,5.94
망고사고,30대,2.0,4.82
망고사고,40대,3.0,3.21
망고사고,50대이상,1.0,4.17
요거트아이스크림,10대,1.0,87.96
요거트아이스크림,20대,2.0,50.92
요거트아이스크림,30대,2.0,73.92
요거트아이스크림,40대,3.0,68.85
요거트아이스크림,50대이상,3.0,32.74
크루키,10대,6.0,2.68
크루키,20대,2.0,6.8
크루키,30대,2.0,4.27
크루키,40대,1.0,1.77
크루키,50대이상,1.0,1.65
아사이볼,10대,5.0,95.48
아사이볼,20대,5.0,86.66
아사이볼,30대,3.0,90.64
아사이볼,40대,2.0,52.74
아사이볼,50대이상,2.0,44.64
