행정동_코드,행정동_코드_명,골목상권,관광특구,발달상권,전통시장,전체_상권수
11110515,청운효자동,4,0,0,1,5
11110530,사직동,3,0,2,1,6
11110540,삼청동,0,0,1,0,1
11110550,부암동,5,0,0,0,5
11110560,평창동,3,0,0,0,3
11110570,무악동,1,0,0,0,1
11110580,교남동,1,0,1,0,2
11110600,가회동,2,0,1,0,3
11110615,종로1·2·3·4가동,1,1,6,3,11
11110630,종로5·6가동,2,0,3,4,9
11110640,이화동,3,0,0,0,3
11110650,혜화동,4,0,1,0,5
11110670,창신1동,3,0,2,6,11
11110680,창신2동,1,0,0,1,2
11110690,창신3동,1,0,0,0,1
11110700,숭인1동,1,0,0,0,1
11110710,숭인2동,3,0,0,2,5
11140520,소공동,1,1,5,0,7
11140540,회현동,2,0,2,3,7
11140550,명동,1,0,6,0,7
11140570,필동,1,0,1,1,3
11140580,장충동,4,0,1,0,5
11140590,광희동,0,1,3,3,7
11140605,을지로동,0,0,2,3,5
11140615,신당동,2,0,1,6,9
11140625,다산동,4,0,1,0,5
11140635,약수동,1,0,0,1,2
11140645,청구동,1,0,0,0,1
11140650,신당5동,1,0,0,1,2
11140665,동화동,0,0,0,1,1
11140670,황학동,2,0,0,3,5
11140680,중림동,1,0,1,0,2
11170510,후암동,3,0,0,1,4
11170520,용산2가동,1,0,0,1,2
11170530,남영동,2,0,2,0,4
11170555,청파동,3,0,0,1,4
11170560,원효로1동,3,0,0,0,3
11170570,원효로2동,1,0,0,0,1
11170580,효창동,2,0,0,0,2
11170590,용문동,2,0,0,1,3
11170625,한강로동,4,0,3,0,7
11170630,이촌1동,2,0,0,1,3
11170640,이촌2동,1,0,0,0,1
11170650,이태원1동,3,1,1,1,6
11170660,이태원2동,2,0,0,0,2
11170685,한남동,7,0,1,0,8
11170690,서빙고동,3,0,0,0,3
11170700,보광동,3,0,0,1,4
11200520,왕십리2동,1,0,0,1,2
11200535,왕십리도선동,2,0,0,1,3
11200540,마장동,5,0,0,1,6
11200550,사근동,2,0,0,1,3
11200560,행당1동,2,0,1,1,4
11200580,응봉동,2,0,0,0,2
11200590,금호1가동,3,0,0,0,3
11200615,금호2·3가동,2,0,0,2,4
11200620,금호4가동,2,0,1,0,3
11200645,옥수동,3,0,0,0,3
11200650,성수1가1동,3,0,1,0,4
11200660,성수1가2동,3,0,1,1,5
11200670,성수2가1동,3,0,0,1,4
11200690,성수2가3동,2,0,1,1,4
11200720,송정동,2,0,0,0,2
11200790,용답동,2,0,0,1,3
11215710,화양동,4,0,1,2,7
11215730,군자동,3,0,2,0,5
11215740,중곡1동,3,0,0,1,4
11215750,중곡2동,3,0,1,0,4
11215760,중곡3동,2,0,0,1,3
11215770,중곡4동,4,0,0,1,5
11215780,능동,2,0,0,0,2
11215810,광장동,3,0,0,0,3
11215820,자양1동,3,0,0,1,4
11215830,자양2동,4,0,0,1,5
11215840,자양3동,2,0,0,0,2
11215847,자양4동,2,0,0,4,6
11215850,구의1동,3,0,2,0,5
11215860,구의2동,2,0,0,0,2
11215870,구의3동,2,0,3,0,5
11230536,용신동,9,0,1,2,12
11230545,제기동,8,0,0,9,17
11230560,전농1동,6,0,1,1,8
11230570,전농2동,1,0,0,0,1
11230600,답십리1동,3,0,0,2,5
11230610,답십리2동,4,0,0,2,6
11230650,장안1동,3,0,1,0,4
11230660,장안2동,4,0,1,1,6
11230705,청량리동,4,0,0,0,4
11230710,회기동,2,0,1,1,4
11230720,휘경1동,3,0,1,1,5
11230730,휘경2동,1,0,0,0,1
11230740,이문1동,3,0,0,0,3
11230750,이문2동,0,0,0,1,1
11260520,면목2동,3,0,0,1,4
11260540,면목4동,1,0,0,0,1
11260550,면목5동,2,0,0,0,2
11260565,면목본동,4,0,0,1,5
11260570,면목7동,2,0,0,1,3
11260575,면목3·8동,4,0,1,1,6
11260580,상봉1동,3,0,0,0,3
11260590,상봉2동,3,0,1,1,5
11260600,중화1동,2,0,0,0,2
11260610,중화2동,8,0,0,2,10
11260620,묵1동,3,0,0,1,4
11260630,묵2동,2,0,0,0,2
11260655,망우본동,3,0,0,1,4
11260660,망우3동,2,0,0,1,3
11260680,신내1동,5,0,0,1,6
11260690,신내2동,0,0,0,1,1
11290525,성북동,7,0,0,0,7
11290555,삼선동,2,0,2,1,5
11290575,동선동,3,0,1,0,4
11290600,안암동,6,0,1,0,7
11290610,보문동,1,0,0,0,1
11290620,정릉1동,2,0,0,0,2
11290630,정릉2동,2,0,0,1,3
11290640,정릉3동,3,0,0,1,4
11290650,정릉4동,3,0,0,1,4
11290660,길음1동,2,0,0,1,3
11290685,길음2동,2,0,1,0,3
11290705,종암동,6,0,0,0,6
11290715,월곡1동,3,0,0,1,4
11290725,월곡2동,2,0,1,0,3
11290760,장위1동,3,0,0,1,4
11290770,장위2동,4,0,0,1,5
11290780,장위3동,0,0,0,1,1
11290810,석관동,7,0,0,3,10
11305534,삼양동,2,0,0,2,4
11305535,미아동,3,0,1,0,4
11305545,송중동,3,0,1,1,5
11305555,송천동,5,0,0,1,6
11305575,삼각산동,1,0,0,1,2
11305595,번1동,3,0,0,2,5
11305603,번2동,2,0,0,0,2
11305608,번3동,1,0,0,0,1
11305615,수유1동,4,0,0,3,7
11305625,수유2동,4,0,0,1,5
11305635,수유3동,5,0,1,2,8
11305645,우이동,5,0,0,1,6
11305660,인수동,7,0,0,1,8
11320511,창1동,1,0,0,1,2
11320512,창2동,1,0,0,1,2
11320513,창3동,1,0,0,1,2
11320514,창4동,1,0,0,1,2
11320515,창5동,3,0,1,0,4
11320521,도봉1동,3,0,0,1,4
11320522,도봉2동,2,0,0,1,3
11320660,쌍문1동,5,0,0,1,6
11320670,쌍문2동,2,0,0,0,2
