기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00~06_유동인구_수,시간대_06~11_유동인구_수,시간대_11~14_유동인구_수,시간대_14~17_유동인구_수,시간대_17~21_유동인구_수,시간대_21~24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20241,11320515,창5동,4263862.0,1929777.0,2334085.0,678202.0,541171.0,608372.0,616520.0,695087.0,1124511.0,954982.0,861032.0,538239.0,558731.0,806202.0,544678.0,602886.0,597483.0,596701.0,597592.0,602498.0,634238.0,632462.0
20241,11320521,도봉1동,3625772.0,1774866.0,1850906.0,407131.0,355605.0,408412.0,484567.0,622516.0,1347541.0,951103.0,751308.0,423955.0,430102.0,602094.0,467208.0,507631.0,505812.0,498030.0,504924.0,508073.0,541035.0,560267.0
20241,11320522,도봉2동,3404141.0,1613793.0,1790348.0,506139.0,343526.0,441671.0,491399.0,551184.0,1070222.0,906708.0,725272.0,385310.0,377885.0,552874.0,456093.0,488117.0,484012.0,479359.0,481832.0,481692.0,490190.0,498941.0
20241,11320660,쌍문1동,5148281.0,2292513.0,2855768.0,894616.0,716270.0,614891.0,722306.0,793887.0,1406313.0,1451087.0,1078225.0,579862.0,562128.0,796422.0,680556.0,737177.0,730866.0,721639.0,726841.0,717698.0,741625.0,772434.0
20241,11320670,쌍문2동,4539787.0,2089232.0,2450556.0,713920.0,536325.0,632059.0,653006.0,745558.0,1258920.0,1219776.0,932949.0,524512.0,519171.0,745124.0,598256.0,648956.0,640168.0,638320.0,641386.0,639705.0,658679.0,672574.0
20241,11320680,쌍문3동,5449579.0,2434169.0,3015410.0,851541.0,744384.0,766661.0,789967.0,844448.0,1452577.0,1463590.0,1140131.0,615809.0,607554.0,894125.0,728372.0,776765.0,770015.0,764159.0,768187.0,766644.0,791600.0,812211.0
20241,11320681,쌍문4동,2531903.0,1159118.0,1372785.0,533008.0,245592.0,293017.0,379761.0,400621.0,679904.0,721837.0,535758.0,272862.0,273045.0,395512.0,332888.0,360458.0,358205.0,348111.0,355282.0,353598.0,370238.0,386011.0
20241,11320690,방학1동,6573670.0,3105178.0,3468492.0,923161.0,737751.0,822200.0,998161.0,1202132.0,1890265.0,1598804.0,1332804.0,807438.0,837294.0,1162572.0,834755.0,929623.0,917327.0,915479.0,917004.0,923807.0,979972.0,990456.0
20241,11320700,방학2동,3115427.0,1488345.0,1627084.0,395930.0,305971.0,344109.0,441352.0,558738.0,1069328.0,835745.0,627348.0,355309.0,358525.0,521631.0,416872.0,442385.0,435458.0,429641.0,433090.0,436430.0,465579.0,472846.0
20241,11320710,방학3동,3430146.0,1583828.0,1846319.0,703324.0,305027.0,372801.0,502383.0,525734.0,1020878.0,1046126.0,718692.0,353655.0,332959.0,505362.0,473355.0,484766.0,484998.0,473481.0,482743.0,479847.0,500874.0,523437.0
20241,11350560,월계1동,4624573.0,2389463.0,2235110.0,765524.0,1011723.0,568920.0,646588.0,592585.0,1039236.0,1147985.0,940775.0,571906.0,576760.0,800711.0,586436.0,665798.0,664386.0,661463.0,661061.0,645593.0,663306.0,662965.0
20241,11350570,월계2동,3764218.0,1703648.0,2060569.0,708382.0,421430.0,436939.0,580789.0,565060.0,1051619.0,1253816.0,818644.0,357116.0,320943.0,485491.0,528206.0,541084.0,543809.0,526617.0,540094.0,530566.0,531070.0,550978.0
20241,11350580,월계3동,2623967.0,1200092.0,1423876.0,447658.0,280103.0,366734.0,407134.0,394631.0,727705.0,749172.0,556070.0,277777.0,276693.0,411275.0,352981.0,372096.0,367140.0,359236.0,367221.0,367150.0,391686.0,399439.0
20241,11350595,공릉1동,11101265.0,5191146.0,5910120.0,1697269.0,2019459.0,1522037.0,1625051.0,1572532.0,2664919.0,2971903.0,2268194.0,1255076.0,1260131.0,1863223.0,1482741.0,1572725.0,1557937.0,1558494.0,1567318.0,1572054.0,1633371.0,1639366.0
20241,11350600,공릉2동,8243905.0,3941348.0,4302558.0,1619190.0,1543001.0,1061067.0,1225555.0,1117913.0,1677178.0,2259568.0,1726897.0,925707.0,911470.0,1328123.0,1092141.0,1166134.0,1172558.0,1161028.0,1174479.0,1159679.0,1192816.0,1217212.0
20241,11350611,하계1동,3734624.0,1741953.0,1992670.0,655776.0,536736.0,390153.0,544596.0,630853.0,976508.0,963856.0,796089.0,473159.0,455722.0,587247.0,458550.0,532732.0,534931.0,534322.0,531336.0,528662.0,528926.0,543714.0
20241,11350612,하계2동,2819564.0,1257083.0,1562482.0,486488.0,328247.0,359701.0,474072.0,470566.0,700488.0,801919.0,601310.0,303234.0,299583.0,438441.0,375079.0,402476.0,396305.0,393890.0,394444.0,392465.0,415735.0,424248.0
20241,11350619,중계본동,4122434.0,1902238.0,2220196.0,1351148.0,393275.0,278986.0,750892.0,676246.0,671887.0,981641.0,802434.0,503581.0,547337.0,774034.0,513406.0,574409.0,581687.0,578648.0,582797.0,571950.0,618616.0,614328.0
20241,11350621,중계1동,3820017.0,1748874.0,2071143.0,1236209.0,365125.0,291880.0,670075.0,587583.0,669147.0,1023687.0,768431.0,433533.0,449508.0,655107.0,489750.0,543116.0,547573.0,542521.0,546395.0,539745.0,551939.0,548726.0
20241,11350624,중계4동,2991847.0,1378594.0,1613254.0,558008.0,333259.0,284864.0,430992.0,513210.0,871515.0,797936.0,600084.0,344872.0,345342.0,502220.0,401395.0,425385.0,423556.0,418893.0,423038.0,424438.0,437042.0,439494.0
20241,11350625,중계2·3동,4294718.0,1912170.0,2382548.0,826963.0,462741.0,521361.0,702926.0,678039.0,1102687.0,1214231.0,904823.0,477031.0,465183.0,659488.0,573963.0,612149.0,610100.0,606078.0,606748.0,604042.0,618090.0,637512.0
20241,11350630,상계1동,7548700.0,3513692.0,4035008.0,1240399.0,799118.0,912714.0,1096182.0,1241209.0,2259077.0,2011831.0,1533825.0,875932.0,873985.0,1271626.0,981501.0,1062828.0,1048533.0,1036013.0,1048452.0,1055886.0,1134668.0,1162320.0
