기준_년분기_코드,상권구분_코드,상권구분_명,상권_코드,상권_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액
20222,A,골목상권,3110230,장안현대홈타운1차아파트,1507681218.0,200706.0,1045178870.0,462502348.0
20222,A,골목상권,3110724,금천구립가산도서관,576642458.0,83913.0,402171129.0,174471329.0
20222,A,골목상권,3111078,굽은다리역 4번,668224301.0,99143.0,457235136.0,210989165.0
20222,U,관광특구,3001496,강남 마이스 관광특구,4494458914.0,379815.0,3264594017.0,1229864897.0
20222,D,발달상권,3120215,포스코사거리,4624145736.0,813407.0,4004513000.0,619632736.0
20222,D,발달상권,3120246,길동역,3288390933.0,488309.0,2329732548.0,958658385.0
20222,A,골목상권,3111089,상일여고(상일초등학교),587114823.0,83951.0,426196093.0,160918730.0
20222,A,골목상권,3110080,해방촌예술마을,171395653.0,26179.0,112346307.0,59049346.0
20222,D,발달상권,3120082,상계백병원,1392028662.0,146802.0,974029424.0,417999238.0
20222,A,골목상권,3110578,대흥역 2번,263537490.0,50778.0,188036454.0,75501036.0
20222,D,발달상권,3120189,강남역,17415632556.0,2863607.0,13194881772.0,4220750784.0
20222,D,발달상권,3120247,굽은다리역,431689422.0,68762.0,300398595.0,131290827.0
20222,A,골목상권,3111069,천호1동주민센터,366710985.0,55748.0,252704970.0,114006015.0
20222,D,발달상권,3120114,목동신시가지,2561280588.0,523004.0,1921356644.0,639923944.0
20222,A,골목상권,3110626,양화초등학교,112640824.0,16902.0,80775494.0,31865330.0
20222,R,전통시장,3130236,비단길현대시장(현대시장),234091216.0,34188.0,166709842.0,67381374.0
20222,A,골목상권,3110753,시흥동 은행나무사거리,1673724361.0,242942.0,1204914057.0,468810304.0
20222,D,발달상권,3120166,방배역,1885991287.0,293477.0,1371652734.0,514338553.0
20222,D,발달상권,3120185,논현역,2577766836.0,439727.0,2037288655.0,540478181.0
20222,A,골목상권,3110261,사가정역 4번,310957975.0,49229.0,211892711.0,99065264.0
20222,A,골목상권,3110460,구산역 4번,457227488.0,77608.0,325255998.0,131971490.0
20222,A,골목상권,3110918,방배역 3번,706923765.0,98802.0,497633554.0,209290211.0
20222,R,전통시장,3130068,마장축산물시장,867547949.0,115014.0,674552844.0,192995105.0
20222,A,골목상권,3110450,시립서북병원,1692844618.0,239207.0,1198183194.0,494661424.0
20222,A,골목상권,3110778,구로디지털단지역 4번,259198189.0,29120.0,177607516.0,81590673.0
20222,D,발달상권,3120139,대림3동사거리,2272423147.0,334286.0,1698444328.0,573978819.0
20222,D,발달상권,3120173,교대역(법원.검찰청),5009699253.0,932729.0,4025694461.0,984004792.0
20222,A,골목상권,3110136,경수초등학교,164176187.0,30556.0,160239701.0,3936486.0
20222,D,발달상권,3120109,서울남부지방법원,102879849.0,16872.0,78120517.0,24759332.0
20222,A,골목상권,3110112,행당역 2번,301200240.0,44175.0,201345584.0,99854656.0
20222,A,골목상권,3110760,선유도역 6번,305570211.0,53304.0,272082261.0,33487950.0
20222,R,전통시장,3130241,선유도역 골목형상점가,208981785.0,36185.0,159159708.0,49822077.0
20222,A,골목상권,3110660,등촌3동주민센터,607765503.0,112896.0,470119976.0,137645527.0
20222,A,골목상권,3110319,종암동주민센터,91948488.0,18303.0,68732806.0,23215682.0
20222,D,발달상권,3120004,종로구청,1080032663.0,189568.0,882959735.0,197072928.0
20222,R,전통시장,3130313,방이시장,826968966.0,132381.0,587228232.0,239740734.0
20222,A,골목상권,3110836,상도역 5번,1320042049.0,231141.0,944758209.0,375283840.0
20222,D,발달상권,3120191,학동역,2623915115.0,409239.0,2138545810.0,485369305.0
20222,D,발달상권,3120033,을지로4가역,1208024725.0,172374.0,859154529.0,348870196.0
20222,D,발달상권,3120038,약수역,2918717176.0,390370.0,2107914623.0,810802553.0
20222,A,골목상권,3110362,우이천 계성교,952618306.0,138004.0,659627770.0,292990536.0
20222,A,골목상권,3110367,강북구청,337388377.0,49338.0,230828794.0,106559583.0
20222,D,발달상권,3120196,서울세관,771659921.0,113580.0,620853206.0,150806715.0
20222,A,골목상권,3110148,어린이대공원역 3번,230451176.0,40642.0,163571150.0,66880026.0
20222,D,발달상권,3120054,어린이대공원역,1815065664.0,323556.0,1320363762.0,494701902.0
20222,A,골목상권,3110572,서강대역 1번,884229929.0,152512.0,625069855.0,259160074.0
20222,A,골목상권,3110691,개봉중학교,306515656.0,37277.0,208581966.0,97933690.0
20222,A,골목상권,3110387,쌍문초등학교,946232189.0,116036.0,641028148.0,305204041.0
20222,A,골목상권,3110383,덕성여대시반거리,1050136301.0,189216.0,724402587.0,325733714.0
20222,D,발달상권,3120129,구로디지털단지,5494969638.0,866243.0,4875438348.0,619531290.0
20222,A,골목상권,3110226,장안1동주민센터,4070930496.0,522269.0,2912241961.0,1158688535.0
20222,A,골목상권,3111086,한영중고,150863107.0,24998.0,105689731.0,45173376.0
20222,R,전통시장,3130086,서울약령시장,224799586.0,29548.0,161858597.0,62940989.0
20222,A,골목상권,3110725,가산동주민센터,1655928104.0,222866.0,1157191034.0,498737070.0
20222,A,골목상권,3110864,신림우방아파트,1098707874.0,176318.0,757296232.0,341411642.0
20222,A,골목상권,3111059,강동역 4번(강풀만화거리),317764702.0,50944.0,234137577.0,83627125.0
20222,A,골목상권,3110562,연트럴파크(연남동주민센터),407733609.0,64305.0,280529116.0,127204493.0
20222,A,골목상권,3110059,새남터성지,652032441.0,97143.0,437243479.0,214788962.0
20222,A,골목상권,3110085,경리단길남측,1194871806.0,170381.0,812942132.0,381929674.0
20222,A,골목상권,3110439,당고개역 5번,717704669.0,115127.0,508403670.0,209300999.0
20222,A,골목상권,3110737,금천세무서,184429734.0,26280.0,131076049.0,53353685.0
20222,A,골목상권,3110744,독산동성당,687750551.0,84693.0,476609325.0,211141226.0
20222,A,골목상권,3110855,신대방역 2번,338215275.0,49122.0,233587247.0,104628028.0
20222,D,발달상권,3120159,서울대입구역,7653755360.0,844728.0,5334597880.0,2319157480.0
20222,A,골목상권,3110892,관악구 중앙길,1860331375.0,292669.0,1321922163.0,538409212.0
20222,A,골목상권,3110254,오거리공원,648119903.0,96116.0,457810615.0,190309288.0
20222,D,발달상권,3120111,목동사거리,710474903.0,112221.0,501805980.0,208668923.0
20222,A,골목상권,3110618,강서고등학교,1030583649.0,142334.0,709461573.0,321122076.0
20222,A,골목상권,3110743,시흥초등학교(시흥1동우체국),407010051.0,59324.0,289216859.0,117793192.0
20222,A,골목상권,3110740,금천해태공원,228025099.0,34760.0,161854491.0,66170608.0
20222,D,발달상권,3120187,신논현역,5630163136.0,930194.0,4176509911.0,1453653225.0
20222,D,발달상권,3120047,한남오거리,979992379.0,127092.0,691892363.0,288100016.0
20222,A,골목상권,3110124,뚝섬역교차로,819972475.0,133368.0,679145877.0,140826598.0
20222,A,골목상권,3110929,남부터미널역 1번,160627163.0,22654.0,112382231.0,48244932.0
20222,D,발달상권,3120204,르네상스호텔사거리,1902578367.0,280853.0,1516243541.0,386334826.0
20222,A,골목상권,3110137,성수초등학교,3359093496.0,620257.0,2898538396.0,460555100.0
20222,A,골목상권,3110480,연신내역 3번,141005252.0,21669.0,94501100.0,46504152.0
20222,A,골목상권,3110611,신정역 1번,581680845.0,78927.0,401524302.0,180156543.0
20222,D,발달상권,3120001,서대문역,850416973.0,147234.0,697492625.0,152924348.0
20222,A,골목상권,3110312,안암역 2번,392133515.0,83324.0,320179994.0,71953521.0
20222,A,골목상권,3110468,응암역 3번,922525786.0,127624.0,659373182.0,263152604.0
20222,A,골목상권,3110325,장곡초등학교,902981560.0,131990.0,588303610.0,314677950.0
20222,A,골목상권,3110299,정릉역 1번,367553049.0,48998.0,261409522.0,106143527.0
20222,D,발달상권,3120122,강서구청,3852709175.0,475083.0,2666974056.0,1185735119.0
20222,D,발달상권,3120009,종로3가역,4738703718.0,779553.0,3172120588.0,1566583130.0
20222,A,골목상권,3110289,북한산보국문역 2번,278772337.0,42749.0,192844499.0,85927838.0
20222,A,골목상권,3110496,모래내우체국,251917890.0,36812.0,171258410.0,80659480.0
20222,A,골목상권,3111021,방이역 4번,963007773.0,164770.0,691020497.0,271987276.0
20222,A,골목상권,3110942,염곡동 구룡사(포이동성당),386864743.0,52802.0,282949358.0,103915385.0
20222,D,발달상권,3120015,종로6가,483475198.0,75350.0,383429444.0,100045754.0
20222,A,골목상권,3111019,한성백제역 3번,388074570.0,56691.0,271363299.0,116711271.0
20222,A,골목상권,3110001,이북5도청사,368225218.0,51482.0,240950613.0,127274605.0
20222,A,골목상권,3110162,군자역 4번,400183996.0,58843.0,280235553.0,119948443.0
20222,R,전통시장,3130271,남성역골목시장,39000000.0,6192.0,26655965.0,12344035.0
20222,A,골목상권,3111008,석촌고분역 3번,189808000.0,30989.0,133766551.0,56041449.0
20222,A,골목상권,3111012,석촌역 6번,209416106.0,30151.0,143844225.0,65571881.0
20222,A,골목상권,3110821,보라매역 2번,282817308.0,42461.0,191559052.0,91258256.0
20222,D,발달상권,3120026,을지로입구역,2413977627.0,491915.0,2246229065.0,167748562.0
20222,A,골목상권,3110992,도곡초등학교,1002844326.0,194759.0,693553517.0,309290809.0
20222,A,골목상권,3110394,방학중학교,397031463.0,57543.0,281313998.0,115717465.0
20222,A,골목상권,3110542,마포구청역 7번,497818939.0,82876.0,369490249.0,128328690.0
20222,D,발달상권,3120158,녹두거리(대학동),1401333792.0,227408.0,972368493.0,428965299.0
20222,R,전통시장,3130035,방산종합시장(방산시장),256243550.0,43042.0,236844141.0,19399409.0
20222,A,골목상권,3110568,광흥창역 1번,1168708885.0,177356.0,816041178.0,352667707.0
20222,A,골목상권,3110575,대흥동주민센터,36680387.0,5104.0,25056236.0,11624151.0
20221,A,골목상권,3110285,홍대부중,116239796.0,15886.0,88926065.0,27313731.0
20221,D,발달상권,3120119,발산역(마곡),3919354818.0,516489.0,2989976913.0,929377905.0
20221,A,골목상권,3110648,양천향교역 7번,1599224499.0,198483.0,1179320296.0,419904203.0
20221,D,발달상권,3120004,종로구청,1249346400.0,207043.0,1026050385.0,223296015.0
20221,D,발달상권,3120059,구삼강변맛길,649825153.0,112724.0,455381725.0,194443428.0
20221,A,골목상권,3110325,장곡초등학교,785907608.0,102229.0,554589119.0,231318489.0
20221,D,발달상권,3120145,영등포역(영등포),5633809073.0,534297.0,3491784253.0,2142024820.0
20221,D,발달상권,3120214,영동대교남단교차로,881370012.0,101616.0,634030918.0,247339094.0
20221,A,골목상권,3110499,연가초등학교,600941028.0,76410.0,398911961.0,202029067.0
20221,A,골목상권,3110163,성자초등학교,384805659.0,51814.0,278068289.0,106737370.0
20221,D,발달상권,3120180,양재화물트럭터미널앞,370458376.0,55806.0,342445897.0,28012479.0
20221,D,발달상권,3120039,신당역,2705570659.0,306234.0,2035225759.0,670344900.0
20221,A,골목상권,3110651,화원중학교,2151718984.0,256439.0,1535467514.0,616251470.0
20221,A,골목상권,3110977,논현로18길,214770286.0,25753.0,161901571.0,52868715.0
20221,A,골목상권,3110835,상도역 1번,69770965.0,10326.0,51158787.0,18612178.0
20221,A,골목상권,3110038,경향신문사,395037083.0,42838.0,324191245.0,70845838.0
20221,A,골목상권,3110056,신당역 3번,509990106.0,79425.0,380698040.0,129292066.0
20221,A,골목상권,3110572,서강대역 1번,797907371.0,116605.0,562793934.0,235113437.0
20221,D,발달상권,3120196,서울세관,709527757.0,95774.0,564641635.0,144886122.0
20221,D,발달상권,3120079,창동역,1743509103.0,210910.0,1252481245.0,491027858.0
20221,A,골목상권,3111015,석촌역 3번,472111706.0,65206.0,328987191.0,143124515.0
20221,A,골목상권,3110387,쌍문초등학교,906466463.0,107975.0,630321600.0,276144863.0
20221,R,전통시장,3130153,창동역상점가,1057544274.0,169774.0,767653969.0,289890305.0
20221,D,발달상권,3120101,합정역,3338947098.0,442191.0,2613263569.0,725683529.0
20221,A,골목상권,3110863,난우초등학교,308309848.0,44449.0,222010338.0,86299510.0
20221,A,골목상권,3110566,경의선책거리,1159831219.0,163547.0,813475779.0,346355440.0
20221,D,발달상권,3120123,오류동역,5161748699.0,469240.0,3624192541.0,1537556158.0
20221,D,발달상권,3120213,삼성중앙역,1674945019.0,225879.0,1338224059.0,336720960.0
20221,A,골목상권,3110549,새터산,413742754.0,61125.0,289967548.0,123775206.0
20221,D,발달상권,3120224,수서역,6722268682.0,1352139.0,5098281641.0,1623987041.0
20221,R,전통시장,3130246,영등포청과시장(조광시장),164607135.0,24364.0,136177618.0,28429517.0
20221,D,발달상권,3120114,목동신시가지,2574048428.0,471866.0,1960846858.0,613201570.0
20221,D,발달상권,3120243,천호역,3802662322.0,586543.0,2724186438.0,1078475884.0
20221,A,골목상권,3110467,은평요양병원,381806145.0,47236.0,263695804.0,118110341.0
20221,A,골목상권,3110594,신월중학교,398585795.0,53832.0,278816851.0,119768944.0
20221,R,전통시장,3130205,신곡종합시장(신월6동 골목시장),261210824.0,33616.0,185414947.0,75795877.0
20221,D,발달상권,3120139,대림3동사거리,2103167667.0,287058.0,1554204385.0,548963282.0
20221,A,골목상권,3110916,내방역 4번,131977260.0,18112.0,92761533.0,39215727.0
