행정동_코드_명,기준_년분기_코드,당월_매출_금액,매출(억원)
역삼1동,20233,35191306523.0,351.9
역삼1동,20232,33529108281.0,335.3
역삼1동,20224,32142050952.0,321.4
역삼1동,20223,31850596764.0,318.5
역삼1동,20243,31782527446.0,317.8
역삼1동,20253,31364117463.0,313.6
역삼1동,20242,31300673670.0,313.0
역삼1동,20234,31141460490.0,311.4
역삼1동,20231,31111255170.0,311.1
역삼1동,20222,30422363008.0,304.2
역삼1동,20241,30238439827.0,302.4
역삼1동,20244,29680375192.0,296.8
역삼1동,20252,29471124065.0,294.7
역삼1동,20221,27292950234.0,272.9
역삼1동,20251,27119278656.0,271.2
가산동,20223,25196674405.0,252.0
가산동,20224,24668868040.0,246.7
가산동,20232,24240115821.0,242.4
가산동,20233,24170705817.0,241.7
서교동,20243,23916425819.0,239.2
서교동,20253,23861343030.0,238.6
가산동,20243,23469934589.0,234.7
여의동,20232,23290224003.0,232.9
가산동,20222,23218447308.0,232.2
서교동,20223,23004607829.0,230.0
가산동,20234,22967881306.0,229.7
가산동,20242,22887083415.0,228.9
서교동,20244,22794599158.0,227.9
가산동,20231,22794231552.0,227.9
서교동,20233,22712070704.0,227.1
가산동,20244,22525200661.0,225.3
가산동,20253,22344722557.0,223.4
서교동,20252,22337147295.0,223.4
서교동,20232,22231796366.0,222.3
서교동,20242,22056991286.0,220.6
가산동,20221,22000588464.0,220.0
서교동,20222,21951242985.0,219.5
가산동,20241,21812699642.0,218.1
서교동,20224,21735425736.0,217.4
가산동,20252,21620547024.0,216.2
여의동,20242,21607897544.0,216.1
서교동,20241,20836393398.0,208.4
서교동,20234,20807703169.0,208.1
여의동,20233,20800959732.0,208.0
서교동,20251,20739695439.0,207.4
서교동,20231,20633509075.0,206.3
가산동,20251,19781569625.0,197.8
여의동,20252,19515559672.0,195.2
여의동,20243,19439265489.0,194.4
서교동,20221,18378856755.0,183.8
명동,20253,18358021547.0,183.6
여의동,20244,18191938351.0,181.9
여의동,20223,18028135049.0,180.3
여의동,20253,18018412736.0,180.2
여의동,20234,18006193504.0,180.1
명동,20243,17958226323.0,179.6
명동,20223,17218229552.0,172.2
여의동,20222,17139186584.0,171.4
명동,20232,17132328631.0,171.3
명동,20231,17012881322.0,170.1
명동,20244,16974082475.0,169.7
명동,20252,16668442600.0,166.7
명동,20224,16639066925.0,166.4
명동,20234,16573831003.0,165.7
대치4동,20253,16461119135.0,164.6
여의동,20224,16368594589.0,163.7
명동,20241,16354946884.0,163.5
명동,20233,16245094085.0,162.5
명동,20242,16082632845.0,160.8
대치4동,20243,15970788236.0,159.7
여의동,20241,15621767121.0,156.2
여의동,20231,15351850149.0,153.5
대치4동,20244,15213588942.0,152.1
대치4동,20252,15096677757.0,151.0
명동,20251,15078091967.0,150.8
명동,20222,14568352397.0,145.7
여의동,20251,14236522789.0,142.4
대치4동,20251,14120909074.0,141.2
대치4동,20233,13765480482.0,137.7
대치4동,20231,13527580082.0,135.3
대치4동,20242,13156173257.0,131.6
대치4동,20234,13056569224.0,130.6
대치4동,20223,13048166557.0,130.5
대치4동,20241,12863679071.0,128.6
대치4동,20224,12841196686.0,128.4
대치4동,20232,12817658871.0,128.2
여의동,20221,12327371710.0,123.3
논현2동,20223,12133627909.0,121.3
종로1·2·3·4가동,20253,12126668278.0,121.3
논현2동,20222,11983175302.0,119.8
종로1·2·3·4가동,20252,11884783721.0,118.8
종로1·2·3·4가동,20223,11859473932.0,118.6
서초3동,20243,11787009699.0,117.9
종로1·2·3·4가동,20243,11757325641.0,117.6
종로1·2·3·4가동,20242,11687668312.0,116.9
화곡1동,20232,11648849337.0,116.5
대치4동,20222,11641971212.0,116.4
논현2동,20224,11637355593.0,116.4
화곡1동,20243,11636076077.0,116.4
화곡1동,20233,11566713320.0,115.7
서초3동,20253,11558926613.0,115.6
논현2동,20233,11481981436.0,114.8
화곡1동,20242,11438467296.0,114.4
논현2동,20232,11407290805.0,114.1
서초3동,20244,11384888696.0,113.8
화곡1동,20234,11359889913.0,113.6
종로1·2·3·4가동,20244,11261496796.0,112.6
종로1·2·3·4가동,20222,11189966998.0,111.9
논현2동,20231,11146605010.0,111.5
화곡1동,20244,11133024440.0,111.3
논현1동,20223,11132717335.0,111.3
서초3동,20223,11126265466.0,111.3
종로1·2·3·4가동,20233,11104265954.0,111.0
화양동,20232,11059046944.0,110.6
화곡1동,20241,11026910424.0,110.3
화곡1동,20223,11017779446.0,110.2
서초3동,20252,11014747164.0,110.1
종로1·2·3·4가동,20234,10994347109.0,109.9
서초3동,20233,10932752798.0,109.3
화곡1동,20253,10895291481.0,109.0
화곡1동,20251,10877428839.0,108.8
화곡1동,20222,10859490670.0,108.6
화곡1동,20252,10811350492.0,108.1
서초3동,20242,10800199105.0,108.0
종로1·2·3·4가동,20232,10755438519.0,107.6
논현2동,20243,10732071798.0,107.3
논현2동,20221,10726219943.0,107.3
종로1·2·3·4가동,20224,10703223611.0,107.0
화곡1동,20224,10679011493.0,106.8
서초3동,20222,10673118007.0,106.7
서초3동,20232,10670273339.0,106.7
화양동,20233,10610556059.0,106.1
논현1동,20253,10608754758.0,106.1
논현2동,20234,10598707522.0,106.0
이태원1동,20223,10524912723.0,105.2
논현1동,20233,10506965295.0,105.1
논현2동,20242,10496887359.0,105.0
화양동,20222,10437172525.0,104.4
논현2동,20253,10426854364.0,104.3
논현2동,20244,10413070368.0,104.1
화양동,20223,10406347346.0,104.1
서초3동,20224,10368933476.0,103.7
삼성1동,20253,10367806567.0,103.7
영등포동,20233,10361333262.0,103.6
종로1·2·3·4가동,20241,10360113926.0,103.6
화곡1동,20231,10349483948.0,103.5
화양동,20224,10331354194.0,103.3
역삼2동,20233,10319825274.0,103.2
역삼2동,20223,10315618197.0,103.2
서초3동,20234,10268929781.0,102.7
대치4동,20221,10258000120.0,102.6
화곡1동,20221,10240286626.0,102.4
영등포동,20234,10228108282.0,102.3
서초3동,20251,10215100910.0,102.2
구로3동,20233,10198758411.0,102.0
논현1동,20224,10181666575.0,101.8
논현1동,20232,10139914432.0,101.4
종로1·2·3·4가동,20251,10114049170.0,101.1
논현1동,20222,10102011711.0,101.0
서초3동,20241,10088361609.0,100.9
가양1동,20253,10040617328.0,100.4
이태원1동,20222,10039696987.0,100.4
역삼2동,20222,9970111265.0,99.7
영등포동,20232,9950103046.0,99.5
화양동,20234,9947003446.0,99.5
명동,20221,9938473441.0,99.4
역삼2동,20224,9926284588.0,99.3
역삼2동,20242,9917852211.0,99.2
논현1동,20252,9876803801.0,98.8
영등포동,20224,9861928437.0,98.6
역삼2동,20232,9851929608.0,98.5
영등포동,20223,9847034826.0,98.5
논현1동,20243,9840760147.0,98.4
논현1동,20234,9822394859.0,98.2
논현2동,20241,9816262385.0,98.2
논현2동,20252,9790473786.0,97.9
구로3동,20222,9737117974.0,97.4
영등포동,20231,9732390890.0,97.3
종로1·2·3·4가동,20231,9711658446.0,97.1
역삼2동,20234,9702943784.0,97.0
