날짜,언론사,뉴스제목,핵심키워드
2026-01-11,한국경제,"""다주택자 양도세 중과 유예 종료?…'거래 빙하기' 계속"" [이송렬의 우주인]","주택, 도세, 중과, 유예, 종료, 거래, 계속, 이송렬, 우주인"
2026-01-11,헤럴드경제,“어정쩡한 두 채 팔아 강남 갈래요” 다주택자 지수 31개월 이래 최저 [부동산360],"강남, 갈래, 주택, 지수, 개월, 최저, 부동산"
2026-01-11,디지털타임스,"전세난민이 월세난민으로… 집값대책, 서민만 잡았다[기획]","난민, 월세, 난민, 집값, 대책, 서민, 기획"
2026-01-11,서울경제,"서울 원정투자 22% 급증…""비규제지역으로 매수세 쏠릴 수도""[집슐랭]","서울, 원정, 투자, 급증, 규제, 지역, 수도, 집슐랭"
2026-01-11,서울경제,文 넘어선 서울 집값 폭등…노태우는 어떻게 잡았나 [김태영의 부동산 썸씽],"서울, 집값, 폭등, 노태우, 김태영, 부동산, 썸씽"
2026-01-11,머니투데이,"소리 없는 불장…거래량 반토막 서울 아파트, '응축 압력' 쌓인다","소리, 거래, 반토막, 서울, 아파트, 응축, 압력"
2026-01-11,아시아경제,'매달 1000만원' 고가 아파트 월세 '쑥'…강남서 용산·성동으로[부동산AtoZ],"매달, 고가, 아파트, 월세, 강남, 용산, 성동, 부동산"
2026-01-11,한국경제,'싸고 괜찮네' 하고 빌라 덜컥 샀는데…10억 날벼락,"빌라, 덜컥, 날벼락"
2026-01-11,매일경제,규제 적고 수익률 5%…역세권 오피스텔 눈길가네,"규제, 수익률, 오피스텔, 눈길"
2026-01-11,매일경제,이주비 대출금리 비싸져 … 재건축 '한숨',"주비, 대출, 금리, 재건축, 한숨"
2026-01-11,매일경제,“세입자 피눈물 값만큼 싸게”…강제경매 쏟아져 나온 전세사기 빌라,"입자, 눈물, 강제, 경매, 전세, 사기, 빌라"
2026-01-11,매일경제,“토허제·대출규제 피하고 월수입도 짭짤”…아파트 대신 향하는 이곳,"대출, 규제, 피하, 수입, 아파트, 대신"
2026-01-11,서울경제,강제경매 개시 결정 집합건물 작년 역대 최다…서울·경기 각각 1만채 첫 돌파[집슐랭],"강제, 경매, 개시, 결정, 집합, 건물, 작년, 역대, 서울, 경기, 각각, 돌파, 집슐랭"
2026-01-11,비즈워치,'용인 vs 새만금' 어디로 가야 하죠…반도체 국가산단,"용인, 새만금, 어디, 가야, 반도체, 국가"
2026-01-11,매일경제,"“언감생심, 월급모아 집 산다고?”…서울 아파트 2.5배 뛸 때 임금 40% 올라","생심, 월급, 산다, 서울, 아파트, 임금"
2026-01-11,매일경제,강남역 노른자땅 ‘라이온미싱 용지’ 개발 시동…최상급 오피스로 재탄생,"강남역, 노른자, 라이온, 미싱, 용지, 개발, 시동, 최상급, 오피스, 재탄생"
2026-01-11,연합뉴스,"""매수심리 살아나나""…서울 아파트 12월 거래량 벌써 11월 넘어","매수, 심리, 서울, 아파트, 거래, 벌써"
2026-01-11,매일경제,“그 집도 깡통전세라며?”…작년 강제경매 아파트·빌라 ‘역대 최다’,"집도, 깡통, 세라, 작년, 강제, 경매, 아파트, 빌라, 역대"
2026-01-11,이데일리,‘똘똘한 한 채’ 찾아 서울 상경 매수…금천·구로 지고 ‘한강벨트’ 떴다,"똘똘, 서울, 상경, 매수, 금천, 구로, 지고, 한강, 벨트"
2026-01-11,헤럴드경제,"“우리도 재건축 할래” 아시아선수촌, 주변 호재에 들썩 [부동산360][르포]","우리, 재건축, 아시아, 선수촌, 주변, 호재, 부동산, 르포"
