자치구코드,자치구명,법정동코드,법정동명,본번,부번,건물명,계약일,물건금액,건물면적,층,건축년도,건물용도,신고구분
11680,강남구,10100,역삼동,0757,0000,역삼래미안,20231231,182000,59.53,17,2005,아파트,중개거래
11680,강남구,10300,개포동,0012,0000,삼익대청아파트,20231231,162500,60,8,1992,아파트,중개거래
11680,강남구,11800,도곡동,0952,0000,대우디오빌,20231230,25700,25.89,12,2004,아파트,중개거래
11680,강남구,10400,청담동,0060,0000,삼성청담공원아파트,20231230,210000,107.22,11,1999,아파트,중개거래
11680,강남구,10600,대치동,1027,0000,래미안대치팰리스,20231230,323000,84.98,18,2015,아파트,중개거래
11680,강남구,10400,청담동,0060,0000,삼성청담공원아파트,20231230,210000,107.22,11,1999,아파트,중개거래
11680,강남구,10400,청담동,0069,0018,동양파라곤,20231229,545000,171.1,10,2006,아파트,중개거래
11680,강남구,10600,대치동,1016,0002,삼성3차,20231229,160000,84.78,8,2000,아파트,중개거래
11680,강남구,10100,역삼동,0754,0001,역삼푸르지오,20231229,238000,84.91,13,2006,아파트,중개거래
11680,강남구,11200,자곡동,0619,0000,강남자곡 힐스테이트,20231228,129000,84.39,13,2015,아파트,중개거래
11680,강남구,11200,자곡동,0619,0000,강남자곡 힐스테이트,20231228,95000,59.93,6,2015,아파트,중개거래
11680,강남구,10800,논현동,0058,0002,마일스디오빌,20231228,36500,36.29,10,2004,아파트,직거래
11680,강남구,10500,삼성동,0098,0011,삼부아그레빌,20231228,190000,97.67,12,2003,아파트,중개거래
11680,강남구,10300,개포동,0012,0000,성원대치2단지아파트,20231227,114000,39.53,12,1992,아파트,중개거래
11680,강남구,11500,수서동,0746,0000,까치마을,20231227,92500,39.6,3,1993,아파트,중개거래
11680,강남구,11200,자곡동,0619,0000,강남자곡 힐스테이트,20231227,95000,59.93,4,2015,아파트,중개거래
11680,강남구,11800,도곡동,0467,0019,현대비젼21,20231226,41000,32.65,12,1999,아파트,중개거래
11680,강남구,11800,도곡동,0467,0006,대림아크로빌,20231226,239000,146.75,24,1999,아파트,중개거래
11680,강남구,10600,대치동,1030,0000,대치르엘,20231226,265000,84.81,14,2021,아파트,중개거래
11680,강남구,11800,도곡동,0467,0006,대림아크로빌,20231226,239000,146.75,24,1999,아파트,중개거래
11680,강남구,11800,도곡동,0963,0000,럭키(963),20231226,238000,124.1,12,1995,아파트,중개거래
11680,강남구,10400,청담동,0116,0010,상지리츠빌9차,20231226,440000,200.88,4,2004,아파트,중개거래
11680,강남구,11100,세곡동,0533,0000,세곡푸르지오,20231225,140000,74.74,3,2012,아파트,중개거래
11680,강남구,11000,압구정동,0433,0000,신현대11차,20231223,390000,108.36,8,1983,아파트,중개거래
11680,강남구,10100,역삼동,0763,0016,래미안그레이튼,20231223,204500,70.98,3,2009,아파트,중개거래
11680,강남구,11800,도곡동,0467,0029,타워팰리스3,20231222,550000,185.622,68,2004,아파트,중개거래
11680,강남구,10400,청담동,0042,0000,삼성청담아파트,20231222,222000,114.83,8,1999,아파트,중개거래
11680,강남구,10600,대치동,1014,0003,대치삼성,20231222,271000,97.35,17,2000,아파트,중개거래
11680,강남구,10500,삼성동,0016,0002,삼성동힐스테이트 1단지,20231222,255000,84.5,3,2008,아파트,중개거래
11680,강남구,11800,도곡동,0465,0000,우성4,20231222,320000,126.46,8,1985,아파트,중개거래
11680,강남구,11800,도곡동,0467,0029,타워팰리스3,20231222,550000,185.62,68,2004,아파트,중개거래
11680,강남구,10800,논현동,0196,0000,거평프리젠,20231222,50000,42.4,5,1996,아파트,중개거래
